=== METRICS: train/jsrt ===

JPCLN040.png: DSC=0.2896, IoU=0.1693, Sens=0.1695, Spec=0.9994, MCC=0.3344, Kappa=0.2028, HD95=398.70, NSD=0.0578
JPCLN041.png: DSC=0.4075, IoU=0.2559, Sens=0.2559, Spec=1.0000, MCC=0.4338, Kappa=0.3167, HD95=140.38, NSD=0.0000
JPCLN042.png: DSC=0.2002, IoU=0.1112, Sens=0.1117, Spec=0.9990, MCC=0.2922, Kappa=0.1630, HD95=328.98, NSD=0.0380
JPCLN043.png: DSC=0.1234, IoU=0.0657, Sens=0.0822, Spec=0.8996, MCC=-0.0280, Kappa=-0.0227, HD95=382.42, NSD=0.0058
JPCLN044.png: DSC=0.5067, IoU=0.3393, Sens=0.3401, Spec=0.9990, MCC=0.5140, Kappa=0.4203, HD95=77.67, NSD=0.0417
JPCLN045.png: DSC=0.2381, IoU=0.1351, Sens=0.1351, Spec=0.9999, MCC=0.2981, Kappa=0.1633, HD95=402.70, NSD=0.0235
JPCLN046.png: DSC=0.3089, IoU=0.1827, Sens=0.1828, Spec=0.9998, MCC=0.3639, Kappa=0.2344, HD95=199.84, NSD=0.0650
JPCLN047.png: DSC=0.3450, IoU=0.2084, Sens=0.2084, Spec=1.0000, MCC=0.3770, Kappa=0.2489, HD95=183.00, NSD=0.0082
JPCLN048.png: DSC=0.2004, IoU=0.1113, Sens=0.1113, Spec=1.0000, MCC=0.3007, Kappa=0.1659, HD95=252.02, NSD=0.0071
JPCLN049.png: DSC=0.5211, IoU=0.3524, Sens=0.3531, Spec=0.9990, MCC=0.5105, Kappa=0.4155, HD95=110.12, NSD=0.0732
JPCLN050.png: DSC=0.4376, IoU=0.2801, Sens=0.2809, Spec=0.9988, MCC=0.4627, Kappa=0.3559, HD95=243.07, NSD=0.0898
JPCLN051.png: DSC=0.3912, IoU=0.2432, Sens=0.2433, Spec=0.9998, MCC=0.4289, Kappa=0.3113, HD95=170.76, NSD=0.0527
JPCLN052.png: DSC=0.2571, IoU=0.1475, Sens=0.1475, Spec=1.0000, MCC=0.3301, Kappa=0.1965, HD95=288.80, NSD=0.0167
JPCLN053.png: DSC=0.3165, IoU=0.1880, Sens=0.1882, Spec=0.9993, MCC=0.3526, Kappa=0.2229, HD95=311.63, NSD=0.0327
JPCLN054.png: DSC=0.4746, IoU=0.3111, Sens=0.3116, Spec=0.9994, MCC=0.4904, Kappa=0.3894, HD95=123.99, NSD=0.0482
JPCLN055.png: DSC=0.4693, IoU=0.3066, Sens=0.3074, Spec=0.9990, MCC=0.4895, Kappa=0.3893, HD95=151.37, NSD=0.0452
JPCLN056.png: DSC=0.7937, IoU=0.6579, Sens=0.7054, Spec=0.9749, MCC=0.7432, Kappa=0.7335, HD95=68.94, NSD=0.0963
JPCLN057.png: DSC=0.4986, IoU=0.3321, Sens=0.3398, Spec=0.9904, MCC=0.4870, Kappa=0.4053, HD95=83.60, NSD=0.0660
JPCLN058.png: DSC=0.5449, IoU=0.3744, Sens=0.3759, Spec=0.9969, MCC=0.4927, Kappa=0.3950, HD95=158.76, NSD=0.0266
JPCLN059.png: DSC=0.4372, IoU=0.2797, Sens=0.2875, Spec=0.9901, MCC=0.4431, Kappa=0.3559, HD95=88.73, NSD=0.0374
JPCLN060.png: DSC=0.4139, IoU=0.2610, Sens=0.2611, Spec=0.9999, MCC=0.4548, Kappa=0.3431, HD95=139.38, NSD=0.0497
JPCLN061.png: DSC=0.4057, IoU=0.2544, Sens=0.2544, Spec=1.0000, MCC=0.4492, Kappa=0.3359, HD95=353.66, NSD=0.0355
JPCLN062.png: DSC=0.2059, IoU=0.1148, Sens=0.1150, Spec=0.9990, MCC=0.2821, Kappa=0.1509, HD95=260.11, NSD=0.0774
JPCLN063.png: DSC=0.6475, IoU=0.4787, Sens=0.8697, Spec=0.5202, MCC=0.3887, Kappa=0.3416, HD95=148.44, NSD=0.0706
JPCLN064.png: DSC=0.2977, IoU=0.1749, Sens=0.1752, Spec=0.9991, MCC=0.3423, Kappa=0.2121, HD95=267.03, NSD=0.0406
JPCLN065.png: DSC=0.5309, IoU=0.3614, Sens=0.3614, Spec=1.0000, MCC=0.5345, Kappa=0.4445, HD95=113.22, NSD=0.0181
JPCLN066.png: DSC=0.2433, IoU=0.1385, Sens=0.1385, Spec=1.0000, MCC=0.2968, Kappa=0.1620, HD95=378.00, NSD=0.0163
JPCLN067.png: DSC=0.3280, IoU=0.1961, Sens=0.1963, Spec=0.9997, MCC=0.3929, Kappa=0.2684, HD95=180.95, NSD=0.0391
JPCLN068.png: DSC=0.3298, IoU=0.1975, Sens=0.1975, Spec=1.0000, MCC=0.3769, Kappa=0.2488, HD95=209.20, NSD=0.0175
JPCLN069.png: DSC=0.3538, IoU=0.2149, Sens=0.2149, Spec=1.0000, MCC=0.4081, Kappa=0.2855, HD95=186.55, NSD=0.0173
JPCLN070.png: DSC=0.2832, IoU=0.1649, Sens=0.1656, Spec=0.9975, MCC=0.3254, Kappa=0.1979, HD95=311.13, NSD=0.0099
JPCLN071.png: DSC=0.5480, IoU=0.3774, Sens=0.3774, Spec=1.0000, MCC=0.5548, Kappa=0.4707, HD95=161.73, NSD=0.0495
JPCLN072.png: DSC=0.5480, IoU=0.3774, Sens=0.3776, Spec=0.9999, MCC=0.5571, Kappa=0.4740, HD95=88.54, NSD=0.0555
JPCLN073.png: DSC=0.5147, IoU=0.3465, Sens=0.3478, Spec=0.9982, MCC=0.5089, Kappa=0.4152, HD95=95.72, NSD=0.0605
JPCLN074.png: DSC=0.7676, IoU=0.6229, Sens=0.9273, Spec=0.7101, MCC=0.6172, Kappa=0.5877, HD95=109.35, NSD=0.0750
JPCLN075.png: DSC=0.2752, IoU=0.1595, Sens=0.1595, Spec=1.0000, MCC=0.3280, Kappa=0.1943, HD95=243.19, NSD=0.0072
JPCLN076.png: DSC=0.2769, IoU=0.1607, Sens=0.1608, Spec=0.9999, MCC=0.3363, Kappa=0.2035, HD95=231.21, NSD=0.0376
JPCLN077.png: DSC=0.1467, IoU=0.0791, Sens=0.0912, Spec=0.9293, MCC=0.0358, Kappa=0.0258, HD95=210.69, NSD=0.0000
JPCLN078.png: DSC=0.3059, IoU=0.1806, Sens=0.1806, Spec=1.0000, MCC=0.3520, Kappa=0.2205, HD95=184.07, NSD=0.0155
JPCLN079.png: DSC=0.2947, IoU=0.1728, Sens=0.1728, Spec=1.0000, MCC=0.3514, Kappa=0.2199, HD95=330.19, NSD=0.0127
JPCLN080.png: DSC=0.4129, IoU=0.2602, Sens=0.2609, Spec=0.9987, MCC=0.4386, Kappa=0.3261, HD95=183.56, NSD=0.0816
JPCLN081.png: DSC=0.3817, IoU=0.2359, Sens=0.2364, Spec=0.9991, MCC=0.4188, Kappa=0.3012, HD95=180.88, NSD=0.0862
JPCLN082.png: DSC=0.2600, IoU=0.1494, Sens=0.1494, Spec=1.0000, MCC=0.3299, Kappa=0.1963, HD95=328.00, NSD=0.0000
JPCLN083.png: DSC=0.5065, IoU=0.3392, Sens=0.3393, Spec=0.9997, MCC=0.4903, Kappa=0.3882, HD95=96.08, NSD=0.0558
JPCLN084.png: DSC=0.3018, IoU=0.1777, Sens=0.1777, Spec=1.0000, MCC=0.3628, Kappa=0.2327, HD95=157.92, NSD=0.0072
JPCLN085.png: DSC=0.4184, IoU=0.2645, Sens=0.2650, Spec=0.9994, MCC=0.4573, Kappa=0.3480, HD95=146.37, NSD=0.0373
JPCLN086.png: DSC=0.2397, IoU=0.1362, Sens=0.1362, Spec=1.0000, MCC=0.2976, Kappa=0.1627, HD95=191.78, NSD=0.0071
JPCLN087.png: DSC=0.3776, IoU=0.2328, Sens=0.2328, Spec=1.0000, MCC=0.4104, Kappa=0.2883, HD95=235.16, NSD=0.0044
JPCLN088.png: DSC=0.2409, IoU=0.1369, Sens=0.1369, Spec=1.0000, MCC=0.3132, Kappa=0.1787, HD95=326.71, NSD=0.0000
JPCLN089.png: DSC=0.1888, IoU=0.1042, Sens=0.1042, Spec=1.0000, MCC=0.2439, Kappa=0.1123, HD95=418.87, NSD=0.0030
JPCLN090.png: DSC=0.2684, IoU=0.1550, Sens=0.1550, Spec=1.0000, MCC=0.3335, Kappa=0.2001, HD95=321.89, NSD=0.0012
JPCLN091.png: DSC=0.4549, IoU=0.2944, Sens=0.2944, Spec=1.0000, MCC=0.4718, Kappa=0.3642, HD95=174.20, NSD=0.0157
JPCLN092.png: DSC=0.2871, IoU=0.1676, Sens=0.1676, Spec=1.0000, MCC=0.3290, Kappa=0.1953, HD95=380.67, NSD=0.0105
JPCLN093.png: DSC=0.3195, IoU=0.1901, Sens=0.1901, Spec=1.0000, MCC=0.3525, Kappa=0.2211, HD95=223.14, NSD=0.0277
JPCLN094.png: DSC=0.4483, IoU=0.2889, Sens=0.2889, Spec=0.9999, MCC=0.4637, Kappa=0.3541, HD95=131.75, NSD=0.0164
JPCLN095.png: DSC=0.5721, IoU=0.4007, Sens=0.4019, Spec=0.9992, MCC=0.5876, Kappa=0.5157, HD95=69.09, NSD=0.0838
JPCLN096.png: DSC=0.3931, IoU=0.2446, Sens=0.2467, Spec=0.9960, MCC=0.4133, Kappa=0.3022, HD95=170.83, NSD=0.0891
JPCLN097.png: DSC=0.7783, IoU=0.6371, Sens=0.8120, Spec=0.8667, MCC=0.6652, Kappa=0.6639, HD95=46.32, NSD=0.1154
JPCLN098.png: DSC=0.3791, IoU=0.2339, Sens=0.2339, Spec=0.9999, MCC=0.4078, Kappa=0.2853, HD95=145.24, NSD=0.0317
JPCLN099.png: DSC=0.4138, IoU=0.2609, Sens=0.2610, Spec=0.9998, MCC=0.4566, Kappa=0.3456, HD95=150.66, NSD=0.0633
JPCLN100.png: DSC=0.2861, IoU=0.1669, Sens=0.1669, Spec=1.0000, MCC=0.3555, Kappa=0.2244, HD95=326.47, NSD=0.0000
JPCLN101.png: DSC=0.2059, IoU=0.1147, Sens=0.1152, Spec=0.9976, MCC=0.2649, Kappa=0.1378, HD95=420.13, NSD=0.0335
JPCLN102.png: DSC=0.1854, IoU=0.1021, Sens=0.1021, Spec=1.0000, MCC=0.2579, Kappa=0.1247, HD95=336.74, NSD=0.0018
JPCLN103.png: DSC=0.3764, IoU=0.2319, Sens=0.2319, Spec=1.0000, MCC=0.3857, Kappa=0.2590, HD95=173.83, NSD=0.0000
JPCLN104.png: DSC=0.2723, IoU=0.1576, Sens=0.1576, Spec=1.0000, MCC=0.3328, Kappa=0.1994, HD95=265.16, NSD=0.0000
JPCLN105.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN106.png: DSC=0.3688, IoU=0.2261, Sens=0.2261, Spec=1.0000, MCC=0.4051, Kappa=0.2819, HD95=166.91, NSD=0.0436
JPCLN107.png: DSC=0.2851, IoU=0.1662, Sens=0.1662, Spec=1.0000, MCC=0.3087, Kappa=0.1740, HD95=418.42, NSD=0.0176
JPCLN108.png: DSC=0.4704, IoU=0.3076, Sens=0.3078, Spec=0.9997, MCC=0.4864, Kappa=0.3835, HD95=156.78, NSD=0.0672
JPCLN109.png: DSC=0.5905, IoU=0.4190, Sens=0.4190, Spec=1.0000, MCC=0.5722, Kappa=0.4934, HD95=106.47, NSD=0.0240
JPCLN110.png: DSC=0.4432, IoU=0.2847, Sens=0.2851, Spec=0.9993, MCC=0.4578, Kappa=0.3482, HD95=129.71, NSD=0.0598
