=== METRICS: train/normal ===

Normal (1446).png: DSC=0.6405, IoU=0.4711, Sens=0.9434, Spec=0.8344, MCC=0.6070, Kappa=0.5577, HD95=38.60, NSD=0.3526
Normal (1447).png: DSC=0.8937, IoU=0.8078, Sens=0.8160, Spec=0.9941, MCC=0.8492, Kappa=0.8405, HD95=15.56, NSD=0.4492
Normal (1448).png: DSC=0.8604, IoU=0.7550, Sens=0.9378, Spec=0.9375, MCC=0.8252, Kappa=0.8206, HD95=17.93, NSD=0.4229
Normal (1449).png: DSC=0.9292, IoU=0.8677, Sens=0.8849, Spec=0.9921, MCC=0.9050, Kappa=0.9029, HD95=7.16, NSD=0.4600
Normal (1450).png: DSC=0.8847, IoU=0.7933, Sens=0.8052, Spec=0.9927, MCC=0.8449, Kappa=0.8365, HD95=13.45, NSD=0.3649
Normal (1451).png: DSC=0.9057, IoU=0.8277, Sens=0.9179, Spec=0.9608, MCC=0.8714, Kappa=0.8713, HD95=16.44, NSD=0.5309
Normal (1452).png: DSC=0.9139, IoU=0.8415, Sens=0.9270, Spec=0.9644, MCC=0.8833, Kappa=0.8832, HD95=11.18, NSD=0.4991
Normal (1453).png: DSC=0.9169, IoU=0.8466, Sens=0.8590, Spec=0.9933, MCC=0.8866, Kappa=0.8826, HD95=11.18, NSD=0.5102
Normal (1454).png: DSC=0.8575, IoU=0.7506, Sens=0.9525, Spec=0.9475, MCC=0.8325, Kappa=0.8263, HD95=32.66, NSD=0.5442
Normal (1455).png: DSC=0.9114, IoU=0.8373, Sens=0.9684, Spec=0.9487, MCC=0.8829, Kappa=0.8801, HD95=10.05, NSD=0.4969
Normal (1456).png: DSC=0.9507, IoU=0.9060, Sens=0.9553, Spec=0.9811, MCC=0.9335, Kappa=0.9335, HD95=5.00, NSD=0.6576
Normal (1457).png: DSC=0.8503, IoU=0.7395, Sens=0.7584, Spec=0.9883, MCC=0.8046, Kappa=0.7932, HD95=23.00, NSD=0.4322
Normal (1458).png: DSC=0.8774, IoU=0.7816, Sens=0.8313, Spec=0.9747, MCC=0.8348, Kappa=0.8324, HD95=23.26, NSD=0.5476
Normal (1459).png: DSC=0.9169, IoU=0.8466, Sens=0.9565, Spec=0.9588, MCC=0.8904, Kappa=0.8891, HD95=11.00, NSD=0.5935
Normal (1460).png: DSC=0.9128, IoU=0.8395, Sens=0.9570, Spec=0.9423, MCC=0.8763, Kappa=0.8744, HD95=12.21, NSD=0.5147
Normal (1461).png: DSC=0.7990, IoU=0.6652, Sens=0.8290, Spec=0.8830, MCC=0.6992, Kappa=0.6982, HD95=31.06, NSD=0.3725
