=== METRICS: train/normal ===

Normal (1446).png: DSC=0.2706, IoU=0.1565, Sens=0.1627, Spec=0.9934, MCC=0.3263, Kappa=0.2341, HD95=201.37, NSD=0.0515
Normal (1447).png: DSC=0.8909, IoU=0.8032, Sens=0.8237, Spec=0.9851, MCC=0.8414, Kappa=0.8350, HD95=29.43, NSD=0.2284
Normal (1448).png: DSC=0.8890, IoU=0.8002, Sens=0.8641, Spec=0.9794, MCC=0.8619, Kappa=0.8614, HD95=21.84, NSD=0.1689
Normal (1449).png: DSC=0.8834, IoU=0.7911, Sens=0.8063, Spec=0.9924, MCC=0.8500, Kappa=0.8429, HD95=27.42, NSD=0.2122
Normal (1450).png: DSC=0.8050, IoU=0.6737, Sens=0.6799, Spec=0.9955, MCC=0.7582, Kappa=0.7340, HD95=58.93, NSD=0.2585
Normal (1451).png: DSC=0.8615, IoU=0.7567, Sens=0.7892, Spec=0.9846, MCC=0.8238, Kappa=0.8178, HD95=28.46, NSD=0.2234
Normal (1452).png: DSC=0.9058, IoU=0.8279, Sens=0.8771, Spec=0.9791, MCC=0.8751, Kappa=0.8743, HD95=20.62, NSD=0.1722
Normal (1453).png: DSC=0.8917, IoU=0.8046, Sens=0.8289, Spec=0.9862, MCC=0.8524, Kappa=0.8475, HD95=27.31, NSD=0.2162
Normal (1454).png: DSC=0.8872, IoU=0.7973, Sens=0.8211, Spec=0.9942, MCC=0.8712, Kappa=0.8673, HD95=19.72, NSD=0.1896
Normal (1455).png: DSC=0.8786, IoU=0.7835, Sens=0.8313, Spec=0.9800, MCC=0.8441, Kappa=0.8418, HD95=25.98, NSD=0.1623
Normal (1456).png: DSC=0.8855, IoU=0.7945, Sens=0.8253, Spec=0.9865, MCC=0.8535, Kappa=0.8495, HD95=27.59, NSD=0.2611
Normal (1457).png: DSC=0.9201, IoU=0.8521, Sens=0.8764, Spec=0.9869, MCC=0.8884, Kappa=0.8862, HD95=21.10, NSD=0.2534
Normal (1458).png: DSC=0.8019, IoU=0.6693, Sens=0.6829, Spec=0.9920, MCC=0.7611, Kappa=0.7411, HD95=61.19, NSD=0.2428
Normal (1459).png: DSC=0.8945, IoU=0.8091, Sens=0.8696, Spec=0.9762, MCC=0.8628, Kappa=0.8622, HD95=24.04, NSD=0.2028
Normal (1460).png: DSC=0.0156, IoU=0.0078, Sens=0.0085, Spec=0.9632, MCC=-0.0772, Kappa=-0.0385, HD95=117.61, NSD=0.0281
Normal (1461).png: DSC=0.8991, IoU=0.8167, Sens=0.8236, Spec=0.9960, MCC=0.8646, Kappa=0.8573, HD95=25.06, NSD=0.2494
Normal (1462).png: DSC=0.6714, IoU=0.5054, Sens=0.5075, Spec=0.9987, MCC=0.6624, Kappa=0.6125, HD95=57.69, NSD=0.1243
Normal (1463).png: DSC=0.9023, IoU=0.8220, Sens=0.8517, Spec=0.9863, MCC=0.8712, Kappa=0.8684, HD95=21.10, NSD=0.1580
Normal (1464).png: DSC=0.8041, IoU=0.6724, Sens=0.6811, Spec=0.9961, MCC=0.7779, Kappa=0.7584, HD95=33.11, NSD=0.2383
Normal (1465).png: DSC=0.8763, IoU=0.7799, Sens=0.8167, Spec=0.9833, MCC=0.8407, Kappa=0.8368, HD95=24.72, NSD=0.1612
Normal (1466).png: DSC=0.0041, IoU=0.0020, Sens=0.0020, Spec=1.0000, MCC=0.0352, Kappa=0.0025, HD95=489.55, NSD=0.0000
Normal (1467).png: DSC=0.8674, IoU=0.7658, Sens=0.7710, Spec=0.9984, MCC=0.8505, Kappa=0.8409, HD95=21.80, NSD=0.2317
Normal (1468).png: DSC=0.8267, IoU=0.7046, Sens=0.7391, Spec=0.9827, MCC=0.7841, Kappa=0.7748, HD95=54.09, NSD=0.1681
Normal (1469).png: DSC=0.8817, IoU=0.7885, Sens=0.8172, Spec=0.9856, MCC=0.8448, Kappa=0.8400, HD95=30.00, NSD=0.2694
Normal (1470).png: DSC=0.8780, IoU=0.7825, Sens=0.7979, Spec=0.9952, MCC=0.8581, Kappa=0.8516, HD95=23.51, NSD=0.2889
Normal (1471).png: DSC=0.8853, IoU=0.7942, Sens=0.8204, Spec=0.9840, MCC=0.8414, Kappa=0.8360, HD95=39.31, NSD=0.1811
Normal (1472).png: DSC=0.8916, IoU=0.8044, Sens=0.8806, Spec=0.9481, MCC=0.8336, Kappa=0.8334, HD95=26.57, NSD=0.1220
Normal (1473).png: DSC=0.7844, IoU=0.6453, Sens=0.6568, Spec=0.9908, MCC=0.7300, Kappa=0.7034, HD95=81.35, NSD=0.2032
Normal (1474).png: DSC=0.8447, IoU=0.7312, Sens=0.7903, Spec=0.9742, MCC=0.8027, Kappa=0.7995, HD95=41.15, NSD=0.2380
Normal (1475).png: DSC=0.8869, IoU=0.7968, Sens=0.8058, Spec=0.9969, MCC=0.8664, Kappa=0.8597, HD95=21.93, NSD=0.2516
Normal (1476).png: DSC=0.8508, IoU=0.7403, Sens=0.8054, Spec=0.9706, MCC=0.8068, Kappa=0.8046, HD95=32.57, NSD=0.1652
Normal (1477).png: DSC=0.9132, IoU=0.8402, Sens=0.8776, Spec=0.9858, MCC=0.8881, Kappa=0.8869, HD95=22.00, NSD=0.2831
Normal (1478).png: DSC=0.9045, IoU=0.8256, Sens=0.9011, Spec=0.9575, MCC=0.8603, Kappa=0.8603, HD95=29.19, NSD=0.1558
Normal (1479).png: DSC=0.9025, IoU=0.8224, Sens=0.8774, Spec=0.9673, MCC=0.8576, Kappa=0.8569, HD95=28.34, NSD=0.2375
Normal (1480).png: DSC=0.9131, IoU=0.8401, Sens=0.8682, Spec=0.9886, MCC=0.8876, Kappa=0.8855, HD95=22.14, NSD=0.2811
Normal (1481).png: DSC=0.8425, IoU=0.7279, Sens=0.8081, Spec=0.9656, MCC=0.7972, Kappa=0.7960, HD95=29.15, NSD=0.1590
Normal (1482).png: DSC=0.8022, IoU=0.6698, Sens=0.6899, Spec=0.9860, MCC=0.7493, Kappa=0.7307, HD95=58.80, NSD=0.0989
Normal (1483).png: DSC=0.8662, IoU=0.7640, Sens=0.7710, Spec=0.9984, MCC=0.8544, Kappa=0.8456, HD95=24.97, NSD=0.2599
Normal (1484).png: DSC=0.8837, IoU=0.7917, Sens=0.8347, Spec=0.9863, MCC=0.8588, Kappa=0.8566, HD95=21.54, NSD=0.1581
Normal (1485).png: DSC=0.8934, IoU=0.8073, Sens=0.8616, Spec=0.9642, MCC=0.8410, Kappa=0.8397, HD95=59.24, NSD=0.1524
Normal (1486).png: DSC=0.8842, IoU=0.7924, Sens=0.8039, Spec=0.9942, MCC=0.8519, Kappa=0.8442, HD95=25.96, NSD=0.2852
Normal (1487).png: DSC=0.0385, IoU=0.0196, Sens=0.0201, Spec=0.9847, MCC=0.0180, Kappa=0.0061, HD95=117.88, NSD=0.0275
Normal (1488).png: DSC=0.8761, IoU=0.7795, Sens=0.7886, Spec=0.9951, MCC=0.8412, Kappa=0.8315, HD95=30.29, NSD=0.2899
Normal (1489).png: DSC=0.9143, IoU=0.8422, Sens=0.8862, Spec=0.9825, MCC=0.8875, Kappa=0.8868, HD95=28.00, NSD=0.2641
Normal (1490).png: DSC=0.9074, IoU=0.8305, Sens=0.8933, Spec=0.9586, MCC=0.8582, Kappa=0.8579, HD95=27.25, NSD=0.1616
