Epoch,Train Loss,Val Loss,Val Accuracy,Val Dice (DSC),Val IoU (Jaccard)
1,0.20468469904126407,0.17768039599198987,0.9672521661829065,0.9351384885333203,0.8833472066455417
2,0.12788751627379488,0.12973983764337996,0.9750588734944662,0.9547226019203663,0.914847772706438
3,0.11853488562541588,0.11830652293024792,0.9778470993041992,0.9568729095712856,0.9193725525229065
4,0.108693082442629,0.1257467039136423,0.977847381874367,0.9549422048860126,0.9209225816583192
5,0.09942645149601397,0.08149056662632911,0.9841672402841074,0.9698110851976607,0.942323089611751
6,0.0850783552730752,0.07523488988927393,0.985550774468316,0.9723773210964821,0.9471714975381339
7,0.08134427496066718,0.08335553016513586,0.9837705117684824,0.969882041491844,0.9431255298356215
8,0.07732668795805668,0.07493070487139954,0.9854728910658095,0.9725637155826445,0.9475615624752309
9,0.07625612660058748,0.07838807933687887,0.9851742850409614,0.9722431104768205,0.9471011650231149
10,0.0719869825814929,0.0791078520404106,0.9852358146950051,0.9726941864247676,0.9480446557755824
11,0.06681776518506982,0.07764796080947337,0.9852049085828993,0.9724962297413084,0.9477094821631908
12,0.06260734544109518,0.07747640862578044,0.9851708235564055,0.9722899346163979,0.9471989262987066
13,0.060506229314987905,0.08250860971208938,0.9849530325995551,0.9721846417696388,0.9474635492596362
14,0.05909353835838978,0.07736555658953471,0.9852658024540654,0.9726641116042932,0.9479601892332236
15,0.05679631207103484,0.08017230263686981,0.9854377817224573,0.9728467360966735,0.9483792083682837
