=== METRICS: train/jsrt ===

JPCLN040.png: DSC=0.8775, IoU=0.7818, Sens=0.7979, Spec=0.9877, MCC=0.8248, Kappa=0.8154, HD95=21.95, NSD=0.2949
JPCLN041.png: DSC=0.8730, IoU=0.7745, Sens=0.7896, Spec=0.9906, MCC=0.8299, Kappa=0.8207, HD95=18.36, NSD=0.3445
JPCLN042.png: DSC=0.8632, IoU=0.7593, Sens=0.8663, Spec=0.9616, MCC=0.8257, Kappa=0.8257, HD95=10.77, NSD=0.2559
JPCLN043.png: DSC=0.8581, IoU=0.7514, Sens=0.8036, Spec=0.9722, MCC=0.8100, Kappa=0.8065, HD95=13.45, NSD=0.2924
JPCLN044.png: DSC=0.8988, IoU=0.8162, Sens=0.8275, Spec=0.9943, MCC=0.8681, Kappa=0.8621, HD95=10.94, NSD=0.3893
JPCLN045.png: DSC=0.8902, IoU=0.8021, Sens=0.8159, Spec=0.9896, MCC=0.8414, Kappa=0.8334, HD95=11.18, NSD=0.2346
JPCLN046.png: DSC=0.8764, IoU=0.7800, Sens=0.8256, Spec=0.9732, MCC=0.8279, Kappa=0.8247, HD95=16.80, NSD=0.2931
JPCLN047.png: DSC=0.8714, IoU=0.7721, Sens=0.7786, Spec=0.9951, MCC=0.8222, Kappa=0.8092, HD95=12.73, NSD=0.2288
JPCLN048.png: DSC=0.8822, IoU=0.7892, Sens=0.8849, Spec=0.9684, MCC=0.8514, Kappa=0.8514, HD95=10.38, NSD=0.5181
JPCLN049.png: DSC=0.9032, IoU=0.8234, Sens=0.8419, Spec=0.9882, MCC=0.8627, Kappa=0.8577, HD95=11.28, NSD=0.3953
JPCLN050.png: DSC=0.8966, IoU=0.8125, Sens=0.8331, Spec=0.9898, MCC=0.8639, Kappa=0.8592, HD95=10.63, NSD=0.3570
JPCLN051.png: DSC=0.9129, IoU=0.8397, Sens=0.8511, Spec=0.9943, MCC=0.8843, Kappa=0.8799, HD95=12.65, NSD=0.4862
JPCLN052.png: DSC=0.8955, IoU=0.8107, Sens=0.8333, Spec=0.9884, MCC=0.8610, Kappa=0.8565, HD95=12.04, NSD=0.4319
JPCLN053.png: DSC=0.8681, IoU=0.7670, Sens=0.8229, Spec=0.9556, MCC=0.7976, Kappa=0.7947, HD95=17.46, NSD=0.3118
JPCLN054.png: DSC=0.9240, IoU=0.8587, Sens=0.8806, Spec=0.9894, MCC=0.8967, Kappa=0.8947, HD95=10.00, NSD=0.5518
JPCLN055.png: DSC=0.9077, IoU=0.8310, Sens=0.8693, Spec=0.9823, MCC=0.8760, Kappa=0.8745, HD95=9.25, NSD=0.3892
JPCLN056.png: DSC=0.9192, IoU=0.8504, Sens=0.9147, Spec=0.9738, MCC=0.8913, Kappa=0.8913, HD95=12.21, NSD=0.5652
JPCLN057.png: DSC=0.9100, IoU=0.8349, Sens=0.8608, Spec=0.9870, MCC=0.8781, Kappa=0.8753, HD95=8.49, NSD=0.4640
JPCLN058.png: DSC=0.8625, IoU=0.7583, Sens=0.7665, Spec=0.9912, MCC=0.7904, Kappa=0.7734, HD95=22.80, NSD=0.2878
JPCLN059.png: DSC=0.8961, IoU=0.8117, Sens=0.8671, Spec=0.9757, MCC=0.8616, Kappa=0.8607, HD95=10.00, NSD=0.3916
JPCLN060.png: DSC=0.8724, IoU=0.7736, Sens=0.8369, Spec=0.9713, MCC=0.8314, Kappa=0.8301, HD95=10.00, NSD=0.2542
JPCLN061.png: DSC=0.8747, IoU=0.7773, Sens=0.8733, Spec=0.9569, MCC=0.8311, Kappa=0.8311, HD95=14.89, NSD=0.2602
JPCLN062.png: DSC=0.9012, IoU=0.8201, Sens=0.8516, Spec=0.9828, MCC=0.8635, Kappa=0.8606, HD95=11.40, NSD=0.3114
JPCLN063.png: DSC=0.9080, IoU=0.8314, Sens=0.8469, Spec=0.9891, MCC=0.8651, Kappa=0.8599, HD95=11.66, NSD=0.3709
