image_id,dice,anat_score,final_score,area_ratio,num_components,balance_diff,height_ratio,smoothness
Atelectasis_generated_0,0.990422487319643,0.7720125275144376,0.8812175074170403,0.26818847656248973,2,0.09902708238505648,0.767578125,2990058.604061933
Atelectasis_generated_1,0.9914745752438442,0.7123309696310769,0.8519027724374606,0.18837738037108656,2,0.07913814750312277,0.478515625,2421202.227531809
Atelectasis_generated_2,0.9672937700673943,0.0,0.4836468850336971,0.1540794372558535,2,456704317142556.1,0.462890625,2535614.385010885
Atelectasis_generated_3,0.9885602785322543,0.743257985229069,0.8659091318806617,0.19871520996092992,2,0.013706519235196632,0.572265625,2903013.2385965404
Atelectasis_generated_4,0.9899714828896554,0.7754426325441307,0.8827070577168931,0.23986816406249084,2,0.035591603053429455,0.72265625,3059318.70228959
Cardiomegaly_generated_5,0.9661722853373556,0.6771819125879972,0.8216770989626764,0.16240692138671256,2,0.25048151453933143,0.486328125,2705777.094587611
Cardiomegaly_generated_6,0.9783473265575467,0.689841191748127,0.8340942591528369,0.15419006347655662,2,0.19940623453730844,0.515625,2635748.6392868296
Cardiomegaly_generated_7,0.9722043184014164,0.699952039953313,0.8360781791773647,0.14100646972655712,2,0.17790282436960886,0.56640625,2614019.424980356
Cardiomegaly_generated_8,0.9840201530490058,0.7248280596013348,0.8544241063251703,0.20037460327147671,2,0.1786700173243896,0.6328125,2807680.638528222
Cardiomegaly_generated_9,0.9845073889668958,0.7764310899209039,0.8804692394438999,0.24148178100585016,2,0.02816612166879482,0.71875,2665920.225344349
Consolidation_generated_10,0.9881146944816768,0.7551268239038018,0.8716207591927393,0.22291183471678835,2,0.022264054077175962,0.6171875,2774415.9497727775
Consolidation_generated_11,0.9604471384019677,0.7065085856677158,0.8334778620348418,0.1726837158203059,2,0.20363170451528595,0.58984375,2571587.3486784105
Consolidation_generated_12,0.8948401690067758,0.0,0.4474200845033879,0.16139221191405634,2,436010779845542.0,0.494140625,2549702.978159556
Consolidation_generated_13,0.9729052989597208,0.7163218933871184,0.8446135961734196,0.18443679809569608,2,0.24941570663297083,0.67578125,2961833.6759802764
Consolidation_generated_14,0.9804493778532826,0.7538427463202937,0.8671460620867881,0.21445465087889806,2,0.05421751040591017,0.65234375,2588619.1326616765
Edema_generated_15,0.988796450360432,0.7642849805226732,0.8765407154415525,0.24024200439452206,2,0.05897297468956478,0.68359375,2726454.3273043404
Edema_generated_16,0.9894635244912008,0.7656076972608562,0.8775356108760285,0.26054000854491194,2,0.1389332201056913,0.74609375,3094977.3089645393
Edema_generated_17,0.9771075334554971,0.0,0.48855376672774853,0.16747283935546237,2,420180039034790.0,0.77734375,3328122.6373506156
Edema_generated_18,0.9754049075654986,0.714075222097805,0.8447400648316519,0.19580459594725816,2,0.18985368894773133,0.58984375,2793640.1571231093
Edema_generated_19,0.9521787064646462,0.7732566387046851,0.8627176725846657,0.2629890441894431,2,0.01544799176106882,0.662109375,2502908.37128813
Effusion_generated_20,0.9709934012478847,0.7343064266158856,0.8526499139318852,0.19298553466796137,2,0.09745008895036619,0.61328125,2687523.480924553
Effusion_generated_21,0.9811940721713148,0.0,0.4905970360856574,0.226322174072257,2,310922888868958.5,0.64453125,2729149.523841169
Effusion_generated_22,0.9863214411158627,0.7210237459379838,0.8536725935269233,0.19018936157225835,2,0.15610646448840562,0.6015625,3133412.8106377977
