=== METRICS: train/normal ===

Normal (1446).png: DSC=0.2955, IoU=0.1733, Sens=0.1734, Spec=1.0000, MCC=0.3903, Kappa=0.2646, HD95=264.94, NSD=0.0591
Normal (1447).png: DSC=0.2550, IoU=0.1461, Sens=0.1461, Spec=1.0000, MCC=0.3122, Kappa=0.1777, HD95=305.17, NSD=0.0012
Normal (1448).png: DSC=0.2119, IoU=0.1185, Sens=0.1188, Spec=0.9993, MCC=0.3062, Kappa=0.1753, HD95=306.07, NSD=0.0939
Normal (1449).png: DSC=0.3433, IoU=0.2073, Sens=0.2073, Spec=1.0000, MCC=0.3969, Kappa=0.2722, HD95=213.72, NSD=0.0310
Normal (1450).png: DSC=0.2029, IoU=0.1129, Sens=0.1130, Spec=0.9993, MCC=0.2777, Kappa=0.1454, HD95=326.74, NSD=0.0861
Normal (1451).png: DSC=0.2377, IoU=0.1349, Sens=0.1349, Spec=1.0000, MCC=0.3207, Kappa=0.1866, HD95=185.54, NSD=0.0403
Normal (1452).png: DSC=0.3568, IoU=0.2172, Sens=0.2172, Spec=1.0000, MCC=0.4128, Kappa=0.2912, HD95=216.16, NSD=0.0000
Normal (1453).png: DSC=0.2213, IoU=0.1244, Sens=0.1244, Spec=1.0000, MCC=0.2980, Kappa=0.1631, HD95=253.20, NSD=0.0019
Normal (1454).png: DSC=0.1464, IoU=0.0790, Sens=0.0792, Spec=0.9995, MCC=0.2533, Kappa=0.1248, HD95=160.55, NSD=0.0252
Normal (1455).png: DSC=0.3036, IoU=0.1790, Sens=0.1840, Spec=0.9908, MCC=0.3384, Kappa=0.2378, HD95=254.11, NSD=0.0597
Normal (1456).png: DSC=0.1231, IoU=0.0656, Sens=0.0656, Spec=0.9997, MCC=0.2202, Kappa=0.0940, HD95=342.21, NSD=0.0634
Normal (1457).png: DSC=0.4192, IoU=0.2652, Sens=0.2658, Spec=0.9990, MCC=0.4427, Kappa=0.3304, HD95=164.01, NSD=0.0966
Normal (1458).png: DSC=0.6888, IoU=0.5254, Sens=0.5436, Spec=0.9862, MCC=0.6447, Kappa=0.6069, HD95=89.88, NSD=0.1431
Normal (1459).png: DSC=0.3463, IoU=0.2094, Sens=0.2094, Spec=1.0000, MCC=0.4090, Kappa=0.2867, HD95=133.42, NSD=0.0263
Normal (1460).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9921, MCC=-0.0482, Kappa=-0.0111, HD95=352.68, NSD=0.0000
Normal (1461).png: DSC=0.2530, IoU=0.1448, Sens=0.1448, Spec=1.0000, MCC=0.3209, Kappa=0.1867, HD95=219.34, NSD=0.0000
Normal (1462).png: DSC=0.1506, IoU=0.0814, Sens=0.0814, Spec=1.0000, MCC=0.2536, Kappa=0.1209, HD95=315.39, NSD=0.0000
Normal (1463).png: DSC=0.2127, IoU=0.1190, Sens=0.1191, Spec=0.9996, MCC=0.2968, Kappa=0.1635, HD95=236.95, NSD=0.0786
Normal (1464).png: DSC=0.4474, IoU=0.2881, Sens=0.2885, Spec=0.9996, MCC=0.4859, Kappa=0.3834, HD95=116.65, NSD=0.0667
Normal (1465).png: DSC=0.1831, IoU=0.1008, Sens=0.1009, Spec=0.9995, MCC=0.2737, Kappa=0.1415, HD95=202.61, NSD=0.0230
Normal (1466).png: DSC=0.6041, IoU=0.4328, Sens=1.0000, Spec=0.1410, MCC=0.2471, Kappa=0.1151, HD95=482.90, NSD=0.0000
Normal (1467).png: DSC=0.3130, IoU=0.1855, Sens=0.1855, Spec=1.0000, MCC=0.3947, Kappa=0.2696, HD95=204.40, NSD=0.0132
Normal (1468).png: DSC=0.3582, IoU=0.2182, Sens=0.2190, Spec=0.9987, MCC=0.4085, Kappa=0.2907, HD95=308.64, NSD=0.0803
Normal (1469).png: DSC=0.3388, IoU=0.2039, Sens=0.2039, Spec=1.0000, MCC=0.3938, Kappa=0.2686, HD95=257.16, NSD=0.0054
Normal (1470).png: DSC=0.8827, IoU=0.7900, Sens=0.8058, Spec=0.9951, MCC=0.8630, Kappa=0.8572, HD95=26.93, NSD=0.2621
Normal (1471).png: DSC=0.3099, IoU=0.1834, Sens=0.1834, Spec=1.0000, MCC=0.3624, Kappa=0.2321, HD95=239.34, NSD=0.0000
Normal (1472).png: DSC=0.2077, IoU=0.1159, Sens=0.1182, Spec=0.9891, MCC=0.2380, Kappa=0.1332, HD95=270.02, NSD=0.0576
Normal (1473).png: DSC=0.1666, IoU=0.0909, Sens=0.0909, Spec=1.0000, MCC=0.2490, Kappa=0.1168, HD95=362.47, NSD=0.0365
Normal (1474).png: DSC=0.2785, IoU=0.1618, Sens=0.1620, Spec=0.9995, MCC=0.3548, Kappa=0.2258, HD95=196.34, NSD=0.0625
Normal (1475).png: DSC=0.4748, IoU=0.3113, Sens=0.3113, Spec=1.0000, MCC=0.5116, Kappa=0.4149, HD95=96.22, NSD=0.0189
Normal (1476).png: DSC=0.2925, IoU=0.1713, Sens=0.1713, Spec=1.0000, MCC=0.3663, Kappa=0.2366, HD95=212.65, NSD=0.0035
Normal (1477).png: DSC=0.2545, IoU=0.1458, Sens=0.1460, Spec=0.9996, MCC=0.3364, Kappa=0.2050, HD95=321.67, NSD=0.1023
Normal (1478).png: DSC=0.2258, IoU=0.1272, Sens=0.1272, Spec=1.0000, MCC=0.3009, Kappa=0.1660, HD95=253.32, NSD=0.0000
Normal (1479).png: DSC=0.4465, IoU=0.2875, Sens=0.2882, Spec=0.9987, MCC=0.4583, Kappa=0.3504, HD95=162.16, NSD=0.0392
Normal (1480).png: DSC=0.4148, IoU=0.2617, Sens=0.2628, Spec=0.9986, MCC=0.4525, Kappa=0.3446, HD95=106.04, NSD=0.0219
Normal (1481).png: DSC=0.2709, IoU=0.1566, Sens=0.1567, Spec=0.9999, MCC=0.3518, Kappa=0.2205, HD95=258.44, NSD=0.0467
Normal (1482).png: DSC=0.3342, IoU=0.2006, Sens=0.2012, Spec=0.9988, MCC=0.3784, Kappa=0.2541, HD95=129.88, NSD=0.0507
Normal (1483).png: DSC=0.2825, IoU=0.1645, Sens=0.1645, Spec=1.0000, MCC=0.3782, Kappa=0.2503, HD95=158.85, NSD=0.0129
Normal (1484).png: DSC=0.3912, IoU=0.2432, Sens=0.2441, Spec=0.9990, MCC=0.4476, Kappa=0.3383, HD95=152.80, NSD=0.0636
Normal (1485).png: DSC=0.2631, IoU=0.1515, Sens=0.1515, Spec=1.0000, MCC=0.3230, Kappa=0.1889, HD95=296.15, NSD=0.0085
Normal (1486).png: DSC=0.3177, IoU=0.1889, Sens=0.1889, Spec=1.0000, MCC=0.3776, Kappa=0.2497, HD95=298.09, NSD=0.0368
Normal (1487).png: DSC=0.6284, IoU=0.4582, Sens=0.9261, Spec=0.4219, MCC=0.3662, Kappa=0.2886, HD95=133.28, NSD=0.1851
Normal (1488).png: DSC=0.3628, IoU=0.2216, Sens=0.2217, Spec=0.9997, MCC=0.4071, Kappa=0.2854, HD95=181.60, NSD=0.0660
Normal (1489).png: DSC=0.8587, IoU=0.7523, Sens=0.7798, Spec=0.9877, MCC=0.8244, Kappa=0.8173, HD95=50.77, NSD=0.2251
Normal (1490).png: DSC=0.4294, IoU=0.2734, Sens=0.2806, Spec=0.9856, MCC=0.4091, Kappa=0.3157, HD95=253.24, NSD=0.0716
Normal (1491).png: DSC=0.4532, IoU=0.2930, Sens=0.2930, Spec=1.0000, MCC=0.4888, Kappa=0.3857, HD95=164.20, NSD=0.0057
Normal (1492).png: DSC=0.2607, IoU=0.1499, Sens=0.1499, Spec=1.0000, MCC=0.3346, Kappa=0.2014, HD95=173.87, NSD=0.0000
Normal (1493).png: DSC=0.3675, IoU=0.2251, Sens=0.2251, Spec=1.0000, MCC=0.3950, Kappa=0.2699, HD95=160.13, NSD=0.0132
Normal (1494).png: DSC=0.0797, IoU=0.0415, Sens=0.0415, Spec=1.0000, MCC=0.1830, Kappa=0.0648, HD95=288.62, NSD=0.0079
Normal (1495).png: DSC=0.3607, IoU=0.2200, Sens=0.2202, Spec=0.9998, MCC=0.4163, Kappa=0.2961, HD95=144.29, NSD=0.1027
Normal (1496).png: DSC=0.2824, IoU=0.1644, Sens=0.1644, Spec=1.0000, MCC=0.3517, Kappa=0.2202, HD95=156.52, NSD=0.0000
Normal (1497).png: DSC=0.2900, IoU=0.1696, Sens=0.1696, Spec=1.0000, MCC=0.3502, Kappa=0.2185, HD95=256.14, NSD=0.0234
Normal (1498).png: DSC=0.4028, IoU=0.2522, Sens=0.2522, Spec=1.0000, MCC=0.4361, Kappa=0.3196, HD95=309.99, NSD=0.0000
Normal (1499).png: DSC=0.2622, IoU=0.1509, Sens=0.1509, Spec=1.0000, MCC=0.3555, Kappa=0.2244, HD95=163.15, NSD=0.0153
Normal (1500).png: DSC=0.3913, IoU=0.2433, Sens=0.2433, Spec=0.9999, MCC=0.4503, Kappa=0.3375, HD95=206.14, NSD=0.0285
Normal (1501).png: DSC=0.2501, IoU=0.1429, Sens=0.1430, Spec=0.9999, MCC=0.3098, Kappa=0.1753, HD95=278.84, NSD=0.0648
Normal (1502).png: DSC=0.3496, IoU=0.2118, Sens=0.2118, Spec=1.0000, MCC=0.3995, Kappa=0.2752, HD95=303.42, NSD=0.0391
Normal (1503).png: DSC=0.6491, IoU=0.4805, Sens=0.4815, Spec=0.9995, MCC=0.6503, Kappa=0.5957, HD95=85.76, NSD=0.1821
Normal (1504).png: DSC=0.2506, IoU=0.1433, Sens=0.1433, Spec=1.0000, MCC=0.3463, Kappa=0.2143, HD95=160.65, NSD=0.0202
Normal (1505).png: DSC=0.2011, IoU=0.1118, Sens=0.1118, Spec=1.0000, MCC=0.2949, Kappa=0.1600, HD95=233.06, NSD=0.0000
Normal (1506).png: DSC=0.2355, IoU=0.1335, Sens=0.1342, Spec=0.9989, MCC=0.3276, Kappa=0.2012, HD95=269.17, NSD=0.0439
Normal (1507).png: DSC=0.2653, IoU=0.1530, Sens=0.1530, Spec=1.0000, MCC=0.3351, Kappa=0.2019, HD95=342.17, NSD=0.0479
Normal (1508).png: DSC=0.3814, IoU=0.2356, Sens=0.2357, Spec=0.9999, MCC=0.4273, Kappa=0.3090, HD95=230.97, NSD=0.0477
Normal (1509).png: DSC=0.3315, IoU=0.1987, Sens=0.1987, Spec=1.0000, MCC=0.3736, Kappa=0.2449, HD95=246.13, NSD=0.0066
Normal (1510).png: DSC=0.4668, IoU=0.3044, Sens=0.3047, Spec=0.9998, MCC=0.5028, Kappa=0.4044, HD95=140.93, NSD=0.0560
Normal (1511).png: DSC=0.3687, IoU=0.2260, Sens=0.2312, Spec=0.9838, MCC=0.3454, Kappa=0.2417, HD95=305.21, NSD=0.1228
Normal (1512).png: DSC=0.4827, IoU=0.3181, Sens=0.3198, Spec=0.9982, MCC=0.5028, Kappa=0.4088, HD95=105.17, NSD=0.0502
Normal (1513).png: DSC=0.2862, IoU=0.1670, Sens=0.1670, Spec=1.0000, MCC=0.3302, Kappa=0.1967, HD95=224.97, NSD=0.0000
Normal (1514).png: DSC=0.5514, IoU=0.3807, Sens=0.3808, Spec=0.9998, MCC=0.5301, Kappa=0.4391, HD95=148.60, NSD=0.0363
Normal (1515).png: DSC=0.4679, IoU=0.3054, Sens=0.3055, Spec=0.9999, MCC=0.5060, Kappa=0.4082, HD95=114.16, NSD=0.0606
Normal (1516).png: DSC=0.4973, IoU=0.3310, Sens=0.9003, Spec=0.6255, MCC=0.4037, Kappa=0.3218, HD95=91.21, NSD=0.1004
Normal (1517).png: DSC=0.4856, IoU=0.3206, Sens=0.3210, Spec=0.9995, MCC=0.4913, Kappa=0.3900, HD95=129.88, NSD=0.0833
Normal (1518).png: DSC=0.3120, IoU=0.1849, Sens=0.1855, Spec=0.9989, MCC=0.3801, Kappa=0.2571, HD95=177.38, NSD=0.0731
Normal (1519).png: DSC=0.2680, IoU=0.1548, Sens=0.1550, Spec=0.9993, MCC=0.3339, Kappa=0.2028, HD95=247.51, NSD=0.0730
Normal (1520).png: DSC=0.5620, IoU=0.3908, Sens=0.4118, Spec=0.9732, MCC=0.5013, Kappa=0.4444, HD95=109.11, NSD=0.0709
Normal (1521).png: DSC=0.3096, IoU=0.1832, Sens=0.1835, Spec=0.9992, MCC=0.3673, Kappa=0.2404, HD95=200.31, NSD=0.1179
Normal (1522).png: DSC=0.2634, IoU=0.1517, Sens=0.1518, Spec=0.9998, MCC=0.3507, Kappa=0.2203, HD95=170.67, NSD=0.0562
Normal (1523).png: DSC=0.4035, IoU=0.2528, Sens=0.2568, Spec=0.9956, MCC=0.4405, Kappa=0.3418, HD95=280.64, NSD=0.1230
Normal (1524).png: DSC=0.2973, IoU=0.1746, Sens=0.1747, Spec=0.9999, MCC=0.3897, Kappa=0.2643, HD95=126.28, NSD=0.0476
Normal (1525).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9815, MCC=-0.0809, Kappa=-0.0238, HD95=376.72, NSD=0.0000
Normal (1526).png: DSC=0.4965, IoU=0.3302, Sens=0.3321, Spec=0.9979, MCC=0.5102, Kappa=0.4187, HD95=126.31, NSD=0.0918
Normal (1527).png: DSC=0.3089, IoU=0.1826, Sens=0.1828, Spec=0.9995, MCC=0.3590, Kappa=0.2298, HD95=212.00, NSD=0.1547
Normal (1528).png: DSC=0.4715, IoU=0.3084, Sens=0.3084, Spec=1.0000, MCC=0.5192, Kappa=0.4246, HD95=106.65, NSD=0.0220
Normal (1529).png: DSC=0.3281, IoU=0.1962, Sens=0.1968, Spec=0.9988, MCC=0.3756, Kappa=0.2511, HD95=145.71, NSD=0.0557
Normal (1530).png: DSC=0.1816, IoU=0.0998, Sens=0.0999, Spec=0.9997, MCC=0.2722, Kappa=0.1393, HD95=309.06, NSD=0.0543
Normal (1531).png: DSC=0.2780, IoU=0.1614, Sens=0.1618, Spec=0.9989, MCC=0.3337, Kappa=0.2037, HD95=333.60, NSD=0.0888
Normal (1532).png: DSC=0.3527, IoU=0.2141, Sens=0.2150, Spec=0.9990, MCC=0.4178, Kappa=0.3019, HD95=124.43, NSD=0.0303
Normal (1533).png: DSC=0.7501, IoU=0.6001, Sens=0.6313, Spec=0.9860, MCC=0.7168, Kappa=0.6981, HD95=52.95, NSD=0.1475
Normal (1534).png: DSC=0.2382, IoU=0.1352, Sens=0.1359, Spec=0.9985, MCC=0.3185, Kappa=0.1911, HD95=307.94, NSD=0.0932
Normal (1535).png: DSC=0.6992, IoU=0.5375, Sens=0.6055, Spec=0.9750, MCC=0.6612, Kappa=0.6504, HD95=89.94, NSD=0.1063
Normal (1536).png: DSC=0.4184, IoU=0.2646, Sens=0.2646, Spec=1.0000, MCC=0.4683, Kappa=0.3597, HD95=306.05, NSD=0.0372
Normal (1537).png: DSC=0.4654, IoU=0.3032, Sens=0.3033, Spec=1.0000, MCC=0.5064, Kappa=0.4083, HD95=106.87, NSD=0.0518
Normal (1538).png: DSC=0.1924, IoU=0.1065, Sens=0.1065, Spec=1.0000, MCC=0.2836, Kappa=0.1489, HD95=225.51, NSD=0.0134
Normal (1539).png: DSC=0.2314, IoU=0.1308, Sens=0.1310, Spec=0.9993, MCC=0.3047, Kappa=0.1724, HD95=266.00, NSD=0.0545
Normal (1540).png: DSC=0.3260, IoU=0.1947, Sens=0.1947, Spec=1.0000, MCC=0.3922, Kappa=0.2666, HD95=222.40, NSD=0.0359
Normal (1541).png: DSC=0.3513, IoU=0.2131, Sens=0.2135, Spec=0.9993, MCC=0.3981, Kappa=0.2759, HD95=176.92, NSD=0.0479
Normal (1542).png: DSC=0.5202, IoU=0.3515, Sens=0.9760, Spec=0.3529, MCC=0.3296, Kappa=0.2112, HD95=139.22, NSD=0.0820
Normal (1543).png: DSC=0.1210, IoU=0.0644, Sens=0.0644, Spec=1.0000, MCC=0.2099, Kappa=0.0844, HD95=203.45, NSD=0.0083
Normal (1544).png: DSC=0.3568, IoU=0.2171, Sens=0.2172, Spec=0.9999, MCC=0.4319, Kappa=0.3151, HD95=158.82, NSD=0.0364
Normal (1545).png: DSC=0.2760, IoU=0.1601, Sens=0.1601, Spec=1.0000, MCC=0.3435, Kappa=0.2111, HD95=257.65, NSD=0.0522
Normal (1546).png: DSC=0.4479, IoU=0.2885, Sens=0.2886, Spec=1.0000, MCC=0.4928, Kappa=0.3909, HD95=129.64, NSD=0.0287
Normal (1547).png: DSC=0.3235, IoU=0.1930, Sens=0.1931, Spec=0.9997, MCC=0.3606, Kappa=0.2309, HD95=314.46, NSD=0.0732
Normal (1548).png: DSC=0.3539, IoU=0.2150, Sens=0.2157, Spec=0.9986, MCC=0.3996, Kappa=0.2798, HD95=325.73, NSD=0.1244
Normal (1549).png: DSC=0.2148, IoU=0.1203, Sens=0.1203, Spec=1.0000, MCC=0.2874, Kappa=0.1526, HD95=283.61, NSD=0.0000
Normal (1550).png: DSC=0.2879, IoU=0.1682, Sens=0.1687, Spec=0.9990, MCC=0.3595, Kappa=0.2332, HD95=197.77, NSD=0.0212
Normal (1551).png: DSC=0.8909, IoU=0.8033, Sens=0.8203, Spec=0.9912, MCC=0.8569, Kappa=0.8509, HD95=24.17, NSD=0.2174
Normal (1552).png: DSC=0.2816, IoU=0.1639, Sens=0.1639, Spec=1.0000, MCC=0.3561, Kappa=0.2250, HD95=261.75, NSD=0.0415
Normal (1553).png: DSC=0.1731, IoU=0.0947, Sens=0.0947, Spec=1.0000, MCC=0.2813, Kappa=0.1467, HD95=218.88, NSD=0.0000
Normal (1554).png: DSC=0.3091, IoU=0.1828, Sens=0.1828, Spec=1.0000, MCC=0.3897, Kappa=0.2638, HD95=140.53, NSD=0.0541
Normal (1555).png: DSC=0.4039, IoU=0.2531, Sens=0.2531, Spec=1.0000, MCC=0.4333, Kappa=0.3161, HD95=186.28, NSD=0.0031
Normal (1556).png: DSC=0.2640, IoU=0.1521, Sens=0.1531, Spec=0.9970, MCC=0.3217, Kappa=0.1974, HD95=356.98, NSD=0.0267
Normal (1557).png: DSC=0.2166, IoU=0.1215, Sens=0.1215, Spec=1.0000, MCC=0.3119, Kappa=0.1773, HD95=207.54, NSD=0.0008
Normal (1558).png: DSC=0.4242, IoU=0.2692, Sens=0.2692, Spec=1.0000, MCC=0.4642, Kappa=0.3546, HD95=215.69, NSD=0.0088
Normal (1559).png: DSC=0.4806, IoU=0.3163, Sens=0.3212, Spec=0.9935, MCC=0.4808, Kappa=0.3913, HD95=290.25, NSD=0.0887
Normal (1560).png: DSC=0.2557, IoU=0.1466, Sens=0.1466, Spec=1.0000, MCC=0.3281, Kappa=0.1944, HD95=208.36, NSD=0.0308
Normal (1561).png: DSC=0.4658, IoU=0.3036, Sens=0.3670, Spec=0.9639, MCC=0.4209, Kappa=0.4013, HD95=255.91, NSD=0.1485
Normal (1562).png: DSC=0.3424, IoU=0.2066, Sens=0.2144, Spec=0.9861, MCC=0.3539, Kappa=0.2632, HD95=169.25, NSD=0.0375
Normal (1563).png: DSC=0.2838, IoU=0.1653, Sens=0.1654, Spec=0.9997, MCC=0.3475, Kappa=0.2164, HD95=282.05, NSD=0.1128
Normal (1564).png: DSC=0.2436, IoU=0.1387, Sens=0.1387, Spec=0.9999, MCC=0.3188, Kappa=0.1848, HD95=199.45, NSD=0.0569
