=== METRICS: train/covid-19 ===

covid_151.png: DSC=0.0208, IoU=0.0105, Sens=0.0106, Spec=0.9976, MCC=0.0530, Kappa=0.0123, HD95=364.49, NSD=0.0204
covid_152.png: DSC=0.0147, IoU=0.0074, Sens=0.0090, Spec=0.9730, MCC=-0.0366, Kappa=-0.0274, HD95=186.43, NSD=0.0415
covid_153.png: DSC=0.5668, IoU=0.3955, Sens=0.4493, Spec=0.9343, MCC=0.4577, Kappa=0.4297, HD95=140.04, NSD=0.0792
covid_154.png: DSC=0.3150, IoU=0.1869, Sens=0.1870, Spec=0.9999, MCC=0.3993, Kappa=0.2757, HD95=210.06, NSD=0.0434
covid_157.png: DSC=0.9089, IoU=0.8331, Sens=0.8876, Spec=0.9705, MCC=0.8698, Kappa=0.8693, HD95=25.46, NSD=0.2296
covid_158.png: DSC=0.8220, IoU=0.6978, Sens=0.7951, Spec=0.9412, MCC=0.7513, Kappa=0.7505, HD95=42.06, NSD=0.1249
covid_159.png: DSC=0.8416, IoU=0.7266, Sens=0.7557, Spec=0.9853, MCC=0.8013, Kappa=0.7924, HD95=33.00, NSD=0.1553
covid_16.png: DSC=0.3629, IoU=0.2217, Sens=0.2228, Spec=0.9988, MCC=0.4283, Kappa=0.3161, HD95=295.39, NSD=0.0938
covid_160.png: DSC=0.6359, IoU=0.4662, Sens=0.4662, Spec=1.0000, MCC=0.6419, Kappa=0.5836, HD95=115.81, NSD=0.0630
covid_162.png: DSC=0.6484, IoU=0.4797, Sens=0.4803, Spec=0.9995, MCC=0.6259, Kappa=0.5639, HD95=151.44, NSD=0.1452
covid_164.png: DSC=0.5492, IoU=0.3785, Sens=0.3786, Spec=0.9999, MCC=0.5649, Kappa=0.4841, HD95=138.39, NSD=0.0536
covid_165.png: DSC=0.8795, IoU=0.7848, Sens=0.7907, Spec=0.9981, MCC=0.8607, Kappa=0.8526, HD95=71.50, NSD=0.2799
covid_167.png: DSC=0.7488, IoU=0.5984, Sens=0.6299, Spec=0.9888, MCC=0.7249, Kappa=0.7071, HD95=40.80, NSD=0.0719
covid_169.png: DSC=0.8967, IoU=0.8128, Sens=0.8384, Spec=0.9897, MCC=0.8695, Kappa=0.8660, HD95=26.93, NSD=0.2300
covid_17.png: DSC=0.7593, IoU=0.6120, Sens=0.6280, Spec=0.9900, MCC=0.7182, Kappa=0.6920, HD95=68.10, NSD=0.1532
covid_172.png: DSC=0.5405, IoU=0.3704, Sens=0.3704, Spec=1.0000, MCC=0.5716, Kappa=0.4925, HD95=134.69, NSD=0.0303
covid_173.png: DSC=0.9183, IoU=0.8489, Sens=0.8778, Spec=0.9872, MCC=0.8912, Kappa=0.8895, HD95=18.00, NSD=0.2054
covid_174.png: DSC=0.6226, IoU=0.4520, Sens=0.4525, Spec=0.9997, MCC=0.6283, Kappa=0.5668, HD95=123.85, NSD=0.1384
covid_175.png: DSC=0.0172, IoU=0.0087, Sens=0.0090, Spec=0.9874, MCC=-0.0141, Kappa=-0.0053, HD95=335.66, NSD=0.0219
covid_176.png: DSC=0.0044, IoU=0.0022, Sens=0.0022, Spec=0.9884, MCC=-0.0533, Kappa=-0.0106, HD95=364.07, NSD=0.0059
