=== METRICS: train/tb ===

CHNCXR_4_0.png: DSC=0.9017, IoU=0.8210, Sens=0.8269, Spec=0.9979, MCC=0.8823, Kappa=0.8765, HD95=8.49, NSD=0.4492
CHNCXR_50_0.png: DSC=0.8546, IoU=0.7461, Sens=0.7736, Spec=0.9903, MCC=0.8280, Kappa=0.8211, HD95=17.49, NSD=0.4042
CHNCXR_51_0.png: DSC=0.8882, IoU=0.7989, Sens=0.8080, Spec=0.9970, MCC=0.8690, Kappa=0.8625, HD95=17.38, NSD=0.4960
CHNCXR_52_0.png: DSC=0.9097, IoU=0.8343, Sens=0.8605, Spec=0.9892, MCC=0.8836, Kappa=0.8811, HD95=11.40, NSD=0.5221
CHNCXR_53_0.png: DSC=0.9216, IoU=0.8547, Sens=0.8811, Spec=0.9919, MCC=0.9038, Kappa=0.9023, HD95=7.21, NSD=0.5442
CHNCXR_54_0.png: DSC=0.8802, IoU=0.7860, Sens=0.8084, Spec=0.9922, MCC=0.8563, Kappa=0.8511, HD95=12.02, NSD=0.3981
CHNCXR_55_0.png: DSC=0.9263, IoU=0.8627, Sens=0.8730, Spec=0.9969, MCC=0.9112, Kappa=0.9086, HD95=7.00, NSD=0.5718
CHNCXR_56_0.png: DSC=0.9227, IoU=0.8565, Sens=0.8752, Spec=0.9957, MCC=0.9104, Kappa=0.9086, HD95=5.83, NSD=0.6148
CHNCXR_57_0.png: DSC=0.8627, IoU=0.7585, Sens=0.7759, Spec=0.9946, MCC=0.8424, Kappa=0.8348, HD95=15.00, NSD=0.4141
CHNCXR_58_0.png: DSC=0.8840, IoU=0.7920, Sens=0.7991, Spec=0.9985, MCC=0.8730, Kappa=0.8665, HD95=10.75, NSD=0.5548
CHNCXR_59_0.png: DSC=0.8344, IoU=0.7159, Sens=0.7369, Spec=0.9930, MCC=0.8116, Kappa=0.8013, HD95=17.11, NSD=0.3944
CHNCXR_5_0.png: DSC=0.8647, IoU=0.7616, Sens=0.7919, Spec=0.9875, MCC=0.8329, Kappa=0.8271, HD95=18.67, NSD=0.4035
CHNCXR_60_0.png: DSC=0.8748, IoU=0.7775, Sens=0.8027, Spec=0.9928, MCC=0.8549, Kappa=0.8500, HD95=19.36, NSD=0.4795
CHNCXR_61_0.png: DSC=0.8277, IoU=0.7060, Sens=0.7173, Spec=0.9934, MCC=0.7881, Kappa=0.7715, HD95=66.02, NSD=0.4429
CHNCXR_62_0.png: DSC=0.8605, IoU=0.7552, Sens=0.7657, Spec=0.9962, MCC=0.8378, Kappa=0.8279, HD95=16.17, NSD=0.4495
CHNCXR_63_0.png: DSC=0.8511, IoU=0.7408, Sens=0.7530, Spec=0.9937, MCC=0.8156, Kappa=0.8034, HD95=23.63, NSD=0.4078
CHNCXR_64_0.png: DSC=0.8801, IoU=0.7858, Sens=0.7958, Spec=0.9967, MCC=0.8602, Kappa=0.8529, HD95=11.00, NSD=0.4303
CHNCXR_66_0.png: DSC=0.9164, IoU=0.8456, Sens=0.8643, Spec=0.9963, MCC=0.9056, Kappa=0.9034, HD95=6.32, NSD=0.5824
CHNCXR_67_0.png: DSC=0.8975, IoU=0.8141, Sens=0.8268, Spec=0.9948, MCC=0.8728, Kappa=0.8675, HD95=10.70, NSD=0.4540
CHNCXR_68_0.png: DSC=0.9104, IoU=0.8355, Sens=0.8571, Spec=0.9939, MCC=0.8935, Kappa=0.8909, HD95=7.57, NSD=0.4952
CHNCXR_69_0.png: DSC=0.9171, IoU=0.8469, Sens=0.8556, Spec=0.9968, MCC=0.8974, Kappa=0.8936, HD95=7.62, NSD=0.4921
CHNCXR_6_0.png: DSC=0.8847, IoU=0.7932, Sens=0.7980, Spec=0.9982, MCC=0.8629, Kappa=0.8548, HD95=12.04, NSD=0.4514
CHNCXR_70_0.png: DSC=0.9268, IoU=0.8636, Sens=0.8811, Spec=0.9911, MCC=0.8995, Kappa=0.8971, HD95=8.49, NSD=0.5037
CHNCXR_71_0.png: DSC=0.9022, IoU=0.8219, Sens=0.8644, Spec=0.9839, MCC=0.8750, Kappa=0.8736, HD95=9.86, NSD=0.3863
CHNCXR_72_0.png: DSC=0.9283, IoU=0.8661, Sens=0.8752, Spec=0.9961, MCC=0.9066, Kappa=0.9035, HD95=8.95, NSD=0.5483
