Epoch,Train Loss,Train Dice (DSC),Train IoU (Jaccard),Val Loss,Val Dice (DSC),Val IoU (Jaccard),Learning Rate
1,0.49978607168537925,0.557398447233443,0.4034146829372628,0.385298127973529,0.6894366071025602,0.5354670942078741,0.01
2,0.16869213524286536,0.8722584036154452,0.7893000641356225,0.0682359472610014,0.9466513878802317,0.9021711978282393,0.01
3,0.0666090511656857,0.9488089381972649,0.9060309527530478,0.05723247068482391,0.9565594762266953,0.9188848193390441,0.01
4,0.05712806333739289,0.9555440496409825,0.9175665267312086,0.0468415328047131,0.9628162608716431,0.9303171248791228,0.01
5,0.05106496969291757,0.9597339348813702,0.9249048061748381,0.04775493831875844,0.9611765283609013,0.9273650554640703,0.01
6,0.04685146138080296,0.9626361265202107,0.9299118498899291,0.04000522365964483,0.9674667470146548,0.9384799150069102,0.01
7,0.04410761879063835,0.9645894437034483,0.9332936484636652,0.040820557754592784,0.9671367882919176,0.9378282946360909,0.01
8,0.04253630664376828,0.9657311902357876,0.935309136400174,0.037279867926469416,0.9693765881051379,0.9419158086244277,0.01
9,0.04059345799321437,0.9670968230484114,0.9377523274435473,0.03767696799078472,0.9692632180147117,0.9416642276355586,0.01
10,0.03936438413503343,0.9679131716025994,0.9391580889441269,0.03869956729047339,0.96867757013987,0.9408291924008265,0.01
11,0.03836048966594183,0.9686735242565455,0.9405339571304882,0.0365505122926065,0.9706621604360862,0.944333708239653,0.01
12,0.03748373564302908,0.9693610337454778,0.9417354293349798,0.036622595465258506,0.9702383250125272,0.9434288126306547,0.01
13,0.0375093490778141,0.9694110992856957,0.9418136599144442,0.03606874527009588,0.9708673528171705,0.9446038794127501,0.01
14,0.036301092822361436,0.97020365842558,0.9432270428136806,0.03364566071051707,0.9723396241071384,0.9472601212359764,0.01
15,0.03636415342052031,0.97021407734929,0.9432377971745216,0.03444067369298652,0.971376556908423,0.9455709175695566,0.01
16,0.035275356223323895,0.9709781201429609,0.9446250381391278,0.03573428828913088,0.9706481866655106,0.9443242759106,0.01
17,0.04655681100908771,0.9641679866518535,0.9326992127963202,0.0395484597059192,0.9679902794096582,0.9393949612529994,0.01
18,0.03821373773799201,0.9690431739129507,0.9411107270756844,0.03625707042828775,0.9701904742468471,0.9432582407977809,0.01
19,0.03692526188668687,0.9698667470324353,0.9425959377222032,0.03447992958533836,0.9717367587142106,0.9462221561590605,0.01
20,0.03575822111035305,0.9706771490519818,0.9440635191461361,0.03399656331173249,0.9719320544986264,0.9465832617001377,0.005
21,0.03255408069556981,0.9730141587711112,0.9482659429537026,0.033307244752468816,0.9727151749144238,0.9479996316760227,0.005
22,0.03198362906799283,0.9734544296326135,0.949052215751514,0.03219434255495625,0.9732981314869388,0.9490659937241338,0.005
23,0.03163317118731206,0.9737448610428335,0.9495964825179853,0.03503865222572475,0.9713068906095933,0.9454825970093862,0.005
24,0.031127735717481324,0.9740840830872884,0.9502010656813082,0.032631880276509234,0.9729362423949017,0.948300530421276,0.005
