=== METRICS: train/jsrt ===

JPCLN040.png: DSC=0.8458, IoU=0.7328, Sens=0.7732, Spec=0.9671, MCC=0.7746, Kappa=0.7668, HD95=15.03, NSD=0.2608
JPCLN041.png: DSC=0.8939, IoU=0.8082, Sens=0.8376, Spec=0.9824, MCC=0.8515, Kappa=0.8476, HD95=11.15, NSD=0.3054
JPCLN042.png: DSC=0.4831, IoU=0.3185, Sens=0.3385, Spec=0.9829, MCC=0.4703, Kappa=0.4108, HD95=119.02, NSD=0.1711
JPCLN043.png: DSC=0.2042, IoU=0.1137, Sens=0.1696, Spec=0.8034, MCC=-0.0312, Kappa=-0.0301, HD95=50.00, NSD=0.0212
JPCLN044.png: DSC=0.8527, IoU=0.7432, Sens=0.7554, Spec=0.9933, MCC=0.8148, Kappa=0.8026, HD95=14.32, NSD=0.2373
JPCLN045.png: DSC=0.8673, IoU=0.7657, Sens=0.7846, Spec=0.9852, MCC=0.8106, Kappa=0.8003, HD95=15.00, NSD=0.2907
JPCLN046.png: DSC=0.8813, IoU=0.7878, Sens=0.8297, Spec=0.9756, MCC=0.8349, Kappa=0.8317, HD95=10.05, NSD=0.2847
JPCLN047.png: DSC=0.5584, IoU=0.3873, Sens=0.3904, Spec=0.9954, MCC=0.5254, Kappa=0.4404, HD95=139.38, NSD=0.0599
JPCLN048.png: DSC=0.8581, IoU=0.7514, Sens=0.7980, Spec=0.9839, MCC=0.8282, Kappa=0.8246, HD95=27.11, NSD=0.2466
JPCLN049.png: DSC=0.4872, IoU=0.3221, Sens=0.3327, Spec=0.9826, MCC=0.4515, Kappa=0.3712, HD95=133.38, NSD=0.1609
JPCLN050.png: DSC=0.8729, IoU=0.7745, Sens=0.7972, Spec=0.9882, MCC=0.8352, Kappa=0.8283, HD95=14.87, NSD=0.3530
JPCLN051.png: DSC=0.8681, IoU=0.7670, Sens=0.7762, Spec=0.9950, MCC=0.8323, Kappa=0.8216, HD95=14.01, NSD=0.3368
JPCLN052.png: DSC=0.6246, IoU=0.4541, Sens=0.4551, Spec=0.9991, MCC=0.6068, Kappa=0.5398, HD95=105.96, NSD=0.2090
JPCLN053.png: DSC=0.8643, IoU=0.7610, Sens=0.8169, Spec=0.9554, MCC=0.7924, Kappa=0.7892, HD95=14.96, NSD=0.3190
JPCLN054.png: DSC=0.8740, IoU=0.7763, Sens=0.8071, Spec=0.9835, MCC=0.8332, Kappa=0.8278, HD95=15.79, NSD=0.3275
JPCLN055.png: DSC=0.5119, IoU=0.3440, Sens=0.3553, Spec=0.9874, MCC=0.4950, Kappa=0.4224, HD95=131.69, NSD=0.1477
JPCLN056.png: DSC=0.8838, IoU=0.7918, Sens=0.8511, Spec=0.9740, MCC=0.8466, Kappa=0.8455, HD95=12.65, NSD=0.2663
JPCLN057.png: DSC=0.8178, IoU=0.6918, Sens=0.7303, Spec=0.9767, MCC=0.7639, Kappa=0.7539, HD95=15.00, NSD=0.2823
JPCLN058.png: DSC=0.8899, IoU=0.8017, Sens=0.8430, Spec=0.9578, MCC=0.8124, Kappa=0.8086, HD95=13.60, NSD=0.3035
JPCLN059.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN060.png: DSC=0.8725, IoU=0.7738, Sens=0.8150, Spec=0.9813, MCC=0.8355, Kappa=0.8319, HD95=11.18, NSD=0.2764
JPCLN061.png: DSC=0.5473, IoU=0.3767, Sens=0.3953, Spec=0.9828, MCC=0.5190, Kappa=0.4615, HD95=85.10, NSD=0.1787
JPCLN062.png: DSC=0.8658, IoU=0.7634, Sens=0.7926, Spec=0.9829, MCC=0.8203, Kappa=0.8135, HD95=14.76, NSD=0.2563
JPCLN063.png: DSC=0.5695, IoU=0.3981, Sens=0.3991, Spec=0.9985, MCC=0.5396, Kappa=0.4537, HD95=135.22, NSD=0.1857
JPCLN064.png: DSC=0.5636, IoU=0.3924, Sens=0.3940, Spec=0.9976, MCC=0.5359, Kappa=0.4504, HD95=129.36, NSD=0.1097
JPCLN065.png: DSC=0.8690, IoU=0.7683, Sens=0.8037, Spec=0.9809, MCC=0.8258, Kappa=0.8207, HD95=11.18, NSD=0.2778
JPCLN066.png: DSC=0.8346, IoU=0.7162, Sens=0.7651, Spec=0.9547, MCC=0.7482, Kappa=0.7406, HD95=19.24, NSD=0.2603
JPCLN067.png: DSC=0.8693, IoU=0.7687, Sens=0.8348, Spec=0.9718, MCC=0.8300, Kappa=0.8287, HD95=12.75, NSD=0.3014
JPCLN068.png: DSC=0.8665, IoU=0.7644, Sens=0.7919, Spec=0.9826, MCC=0.8177, Kappa=0.8103, HD95=13.34, NSD=0.2543
JPCLN069.png: DSC=0.8668, IoU=0.7648, Sens=0.7901, Spec=0.9878, MCC=0.8306, Kappa=0.8237, HD95=12.65, NSD=0.2087
JPCLN070.png: DSC=0.8114, IoU=0.6826, Sens=0.7080, Spec=0.9786, MCC=0.7425, Kappa=0.7256, HD95=60.88, NSD=0.2334
JPCLN071.png: DSC=0.8653, IoU=0.7626, Sens=0.7883, Spec=0.9878, MCC=0.8296, Kappa=0.8227, HD95=12.66, NSD=0.3649
JPCLN072.png: DSC=0.6359, IoU=0.4662, Sens=0.4953, Spec=0.9785, MCC=0.5909, Kappa=0.5540, HD95=110.84, NSD=0.3068
JPCLN073.png: DSC=0.8554, IoU=0.7473, Sens=0.7781, Spec=0.9800, MCC=0.8030, Kappa=0.7951, HD95=14.00, NSD=0.2700
JPCLN074.png: DSC=0.6272, IoU=0.4569, Sens=0.4704, Spec=0.9824, MCC=0.5623, Kappa=0.5040, HD95=121.42, NSD=0.2813
JPCLN075.png: DSC=0.8166, IoU=0.6900, Sens=0.7163, Spec=0.9781, MCC=0.7484, Kappa=0.7327, HD95=18.44, NSD=0.2837
JPCLN076.png: DSC=0.8377, IoU=0.7207, Sens=0.7432, Spec=0.9845, MCC=0.7841, Kappa=0.7715, HD95=16.13, NSD=0.2651
