=== METRICS: train/tb ===

CHNCXR_4_0.png: DSC=0.8203, IoU=0.6954, Sens=0.6999, Spec=0.9981, MCC=0.7974, Kappa=0.7794, HD95=28.84, NSD=0.1420
CHNCXR_50_0.png: DSC=0.8425, IoU=0.7278, Sens=0.7408, Spec=0.9953, MCC=0.8193, Kappa=0.8078, HD95=42.76, NSD=0.2439
CHNCXR_51_0.png: DSC=0.8648, IoU=0.7618, Sens=0.7739, Spec=0.9958, MCC=0.8432, Kappa=0.8345, HD95=24.08, NSD=0.2687
CHNCXR_52_0.png: DSC=0.8940, IoU=0.8083, Sens=0.8486, Spec=0.9829, MCC=0.8623, Kappa=0.8602, HD95=23.00, NSD=0.1645
CHNCXR_53_0.png: DSC=0.8734, IoU=0.7752, Sens=0.7997, Spec=0.9917, MCC=0.8495, Kappa=0.8440, HD95=23.54, NSD=0.1643
CHNCXR_54_0.png: DSC=0.6212, IoU=0.4505, Sens=0.4668, Spec=0.9902, MCC=0.6047, Kappa=0.5578, HD95=111.59, NSD=0.1523
CHNCXR_55_0.png: DSC=0.8464, IoU=0.7337, Sens=0.7475, Spec=0.9951, MCC=0.8237, Kappa=0.8130, HD95=28.07, NSD=0.1895
CHNCXR_56_0.png: DSC=0.7514, IoU=0.6019, Sens=0.6073, Spec=0.9982, MCC=0.7439, Kappa=0.7160, HD95=41.39, NSD=0.2233
CHNCXR_57_0.png: DSC=0.8283, IoU=0.7069, Sens=0.7126, Spec=0.9981, MCC=0.8110, Kappa=0.7958, HD95=34.89, NSD=0.2181
CHNCXR_58_0.png: DSC=0.7495, IoU=0.5994, Sens=0.6013, Spec=0.9995, MCC=0.7478, Kappa=0.7185, HD95=53.91, NSD=0.1161
CHNCXR_59_0.png: DSC=0.7736, IoU=0.6308, Sens=0.6334, Spec=0.9990, MCC=0.7600, Kappa=0.7338, HD95=42.95, NSD=0.1831
CHNCXR_5_0.png: DSC=0.7947, IoU=0.6594, Sens=0.6662, Spec=0.9967, MCC=0.7680, Kappa=0.7457, HD95=52.85, NSD=0.1546
CHNCXR_60_0.png: DSC=0.7985, IoU=0.6646, Sens=0.6746, Spec=0.9966, MCC=0.7818, Kappa=0.7634, HD95=38.44, NSD=0.1769
CHNCXR_61_0.png: DSC=0.8634, IoU=0.7596, Sens=0.7851, Spec=0.9863, MCC=0.8225, Kappa=0.8150, HD95=33.32, NSD=0.1730
CHNCXR_62_0.png: DSC=0.7523, IoU=0.6029, Sens=0.6113, Spec=0.9962, MCC=0.7314, Kappa=0.7029, HD95=75.23, NSD=0.1449
CHNCXR_63_0.png: DSC=0.8925, IoU=0.8059, Sens=0.8224, Spec=0.9921, MCC=0.8614, Kappa=0.8557, HD95=27.29, NSD=0.2864
CHNCXR_64_0.png: DSC=0.7880, IoU=0.6502, Sens=0.6560, Spec=0.9977, MCC=0.7688, Kappa=0.7461, HD95=35.11, NSD=0.1507
CHNCXR_66_0.png: DSC=0.8322, IoU=0.7126, Sens=0.7222, Spec=0.9977, MCC=0.8214, Kappa=0.8090, HD95=30.41, NSD=0.2046
CHNCXR_67_0.png: DSC=0.8784, IoU=0.7831, Sens=0.7980, Spec=0.9937, MCC=0.8507, Kappa=0.8435, HD95=25.63, NSD=0.1890
CHNCXR_68_0.png: DSC=0.8885, IoU=0.7994, Sens=0.8166, Spec=0.9949, MCC=0.8701, Kappa=0.8652, HD95=20.94, NSD=0.2205
CHNCXR_69_0.png: DSC=0.9113, IoU=0.8371, Sens=0.8603, Spec=0.9913, MCC=0.8883, Kappa=0.8858, HD95=21.01, NSD=0.1873
CHNCXR_6_0.png: DSC=0.8034, IoU=0.6713, Sens=0.6726, Spec=0.9994, MCC=0.7810, Kappa=0.7584, HD95=45.37, NSD=0.1419
CHNCXR_70_0.png: DSC=0.8901, IoU=0.8020, Sens=0.8254, Spec=0.9872, MCC=0.8524, Kappa=0.8473, HD95=29.15, NSD=0.2194
CHNCXR_71_0.png: DSC=0.8407, IoU=0.7252, Sens=0.7695, Spec=0.9810, MCC=0.8027, Kappa=0.7971, HD95=36.44, NSD=0.2034
CHNCXR_72_0.png: DSC=0.8890, IoU=0.8001, Sens=0.8177, Spec=0.9918, MCC=0.8579, Kappa=0.8521, HD95=25.46, NSD=0.2118
CHNCXR_73_0.png: DSC=0.6635, IoU=0.4964, Sens=0.5020, Spec=0.9977, MCC=0.6659, Kappa=0.6206, HD95=91.82, NSD=0.0863
CHNCXR_74_0.png: DSC=0.5592, IoU=0.3881, Sens=0.4018, Spec=0.9948, MCC=0.5762, Kappa=0.5215, HD95=111.08, NSD=0.1084
CHNCXR_75_0.png: DSC=0.7878, IoU=0.6499, Sens=0.7040, Spec=0.9848, MCC=0.7616, Kappa=0.7543, HD95=31.77, NSD=0.2356
CHNCXR_76_0.png: DSC=0.7944, IoU=0.6589, Sens=0.7047, Spec=0.9877, MCC=0.7716, Kappa=0.7633, HD95=29.83, NSD=0.2058
CHNCXR_77_0.png: DSC=0.7604, IoU=0.6135, Sens=0.6180, Spec=0.9983, MCC=0.7471, Kappa=0.7194, HD95=89.69, NSD=0.1412
