image_id,dice,anat_score,final_score,area_ratio,num_components,balance_diff,height_ratio,solidity,smoothness
Atelectasis_generated_0,0.990422487319643,0.5818710717473421,0.7861467795334925,0.2681884765625,2,0.09902708238505648,0.767578125,1.0,2990058.604061933
Atelectasis_generated_1,0.9914745752438442,0.5298207753163597,0.7606476752801019,0.18837738037109375,2,0.07913814750312277,0.478515625,1.0,2421202.227531809
Atelectasis_generated_2,0.9672937700673943,0.0,0.4836468850336971,0.15407943725585938,2,456704317142556.1,0.462890625,1.0,2535614.385010885
Atelectasis_generated_3,0.9885602785322543,0.5539670126000413,0.7712636455661478,0.1987152099609375,2,0.013706519235196632,0.572265625,1.0,2903013.2385965404
Atelectasis_generated_4,0.9899714828896554,0.5793653201037698,0.7846684014967127,0.2398681640625,2,0.035591603053429455,0.72265625,1.0,3059318.70228959
Cardiomegaly_generated_5,0.9661722853373556,0.502251771314103,0.7342120283257293,0.16240692138671875,2,0.25048151453933143,0.486328125,1.0,2705777.094587611
Cardiomegaly_generated_6,0.9783473265575467,0.5120248385905581,0.7451860825740524,0.1541900634765625,2,0.19940623453730844,0.515625,1.0,2635748.6392868296
Cardiomegaly_generated_7,0.9722043184014164,0.519771644139036,0.7459879812702261,0.1410064697265625,2,0.17790282436960886,0.56640625,1.0,2614019.424980356
Cardiomegaly_generated_8,0.9840201530490058,0.5396473761634527,0.7618337646062292,0.20037460327148438,2,0.1786700173243896,0.6328125,1.0,2807680.638528222
Cardiomegaly_generated_9,0.9845073889668958,0.5801484635474234,0.7823279262571596,0.24148178100585938,2,0.02816612166879482,0.71875,1.0,2665920.225344349
Consolidation_generated_10,0.9881146944816768,0.5634134126782189,0.7757640535799478,0.22291183471679688,2,0.022264054077175962,0.6171875,1.0,2774415.9497727775
Consolidation_generated_11,0.9604471384019677,0.5251527552155162,0.742799946808742,0.1726837158203125,2,0.20363170451528595,0.58984375,1.0,2571587.3486784105
Consolidation_generated_12,0.8948401690067758,0.0,0.4474200845033879,0.1613922119140625,2,436010779845542.0,0.494140625,1.0,2549702.978159556
Consolidation_generated_13,0.9729052989597208,0.5328897997286106,0.7528975493441656,0.18443679809570312,2,0.24941570663297083,0.67578125,1.0,2961833.6759802764
Consolidation_generated_14,0.9804493778532826,0.5623395107013757,0.7713944442773291,0.21445465087890625,2,0.05421751040591017,0.65234375,1.0,2588619.1326616765
Edema_generated_15,0.988796450360432,0.5706904693344765,0.7797434598474542,0.24024200439453125,2,0.05897297468956478,0.68359375,1.0,2726454.3273043404
Edema_generated_16,0.9894635244912008,0.5718996757232891,0.780681600107245,0.2605400085449219,2,0.1389332201056913,0.74609375,1.0,3094977.3089645393
Edema_generated_17,0.9771075334554971,0.0,0.48855376672774853,0.16747283935546875,2,420180039034790.0,0.77734375,1.0,3328122.6373506156
Edema_generated_18,0.9754049075654986,0.5312434358178255,0.7533241716916621,0.19580459594726562,2,0.18985368894773133,0.58984375,1.0,2793640.1571231093
Edema_generated_19,0.9521787064646462,0.577870621607552,0.7650246640360991,0.2629890441894531,2,0.01544799176106882,0.662109375,1.0,2502908.37128813
Effusion_generated_20,0.9709934012478847,0.5469537587871831,0.7589735800175339,0.19298553466796875,2,0.09745008895036619,0.61328125,1.0,2687523.480924553
Effusion_generated_21,0.9811940721713148,0.0,0.4905970360856574,0.22632217407226562,2,310922888868958.5,0.64453125,1.0,2729149.523841169
Effusion_generated_22,0.9863214411158627,0.5365979300546311,0.7614596855852469,0.19018936157226562,2,0.15610646448840562,0.6015625,1.0,3133412.8106377977
Effusion_generated_23,0.9902751316061844,0.5624759825973868,0.7763755571017856,0.21117782592773438,2,0.15645152549718086,0.759765625,1.0,3331012.778409413
Effusion_generated_24,0.9812366520898183,0.5369587045914537,0.759097678340636,0.222412109375,2,0.08363062568604493,0.490234375,1.0,2309423.59057658
Emphysema_generated_25,0.9879873904254173,0.5121580383864541,0.7500727144059357,0.18072128295898438,2,0.37709762532973573,0.66015625,1.0,3047219.0501312832
Emphysema_generated_26,0.9894458224433595,0.5600369955787685,0.774741409011064,0.22942352294921875,2,0.10944098965779166,0.671875,1.0,3004510.2794215353
Emphysema_generated_27,0.9887938859441157,0.5888433425700639,0.7888186142570898,0.34058380126953125,2,0.0739454761317988,0.69921875,1.0,2579619.722900184
Emphysema_generated_28,0.9843756075935803,0.5843742926899882,0.7843749501417843,0.24452590942382812,2,0.07611425718786351,0.79296875,1.0,2893842.264940813
Emphysema_generated_29,0.9918460179774137,0.604573120390228,0.7982095691838209,0.31465911865234375,2,0.03372693547995615,0.8046875,1.0,3261384.5852625584
Fibrosis_generated_30,0.9909732286707772,0.5760944983806247,0.783533863525701,0.2584571838378906,2,0.07894853364425503,0.71875,1.0,2763856.6591143175
