=== METRICS: train/tb ===

CHNCXR_4_0.png: DSC=0.8035, IoU=0.6716, Sens=0.6752, Spec=0.9984, MCC=0.7814, Kappa=0.7600, HD95=13.60, NSD=0.3061
CHNCXR_50_0.png: DSC=0.7976, IoU=0.6634, Sens=0.6712, Spec=0.9969, MCC=0.7765, Kappa=0.7562, HD95=18.97, NSD=0.3211
CHNCXR_51_0.png: DSC=0.7428, IoU=0.5908, Sens=0.5968, Spec=0.9974, MCC=0.7261, Kappa=0.6948, HD95=33.80, NSD=0.2532
CHNCXR_52_0.png: DSC=0.8869, IoU=0.7967, Sens=0.8353, Spec=0.9834, MCC=0.8541, Kappa=0.8513, HD95=10.63, NSD=0.3442
CHNCXR_53_0.png: DSC=0.8448, IoU=0.7313, Sens=0.7556, Spec=0.9913, MCC=0.8187, Kappa=0.8101, HD95=11.70, NSD=0.3041
CHNCXR_54_0.png: DSC=0.5335, IoU=0.3638, Sens=0.3687, Spec=0.9963, MCC=0.5462, Kappa=0.4708, HD95=64.61, NSD=0.1188
CHNCXR_55_0.png: DSC=0.7939, IoU=0.6582, Sens=0.6717, Spec=0.9947, MCC=0.7708, Kappa=0.7521, HD95=18.81, NSD=0.2525
CHNCXR_56_0.png: DSC=0.7179, IoU=0.5600, Sens=0.5640, Spec=0.9986, MCC=0.7150, Kappa=0.6798, HD95=18.51, NSD=0.3076
CHNCXR_57_0.png: DSC=0.7795, IoU=0.6387, Sens=0.6451, Spec=0.9976, MCC=0.7638, Kappa=0.7405, HD95=19.42, NSD=0.2815
CHNCXR_58_0.png: DSC=0.6347, IoU=0.4649, Sens=0.4667, Spec=0.9993, MCC=0.6505, Kappa=0.5970, HD95=35.84, NSD=0.1831
CHNCXR_59_0.png: DSC=0.7009, IoU=0.5395, Sens=0.5403, Spec=0.9996, MCC=0.6966, Kappa=0.6542, HD95=20.58, NSD=0.1732
CHNCXR_5_0.png: DSC=0.7203, IoU=0.5629, Sens=0.5676, Spec=0.9974, MCC=0.6994, Kappa=0.6612, HD95=34.66, NSD=0.3207
CHNCXR_60_0.png: DSC=0.7247, IoU=0.5683, Sens=0.5753, Spec=0.9973, MCC=0.7149, Kappa=0.6819, HD95=24.86, NSD=0.2879
CHNCXR_61_0.png: DSC=0.7999, IoU=0.6665, Sens=0.6915, Spec=0.9847, MCC=0.7514, Kappa=0.7350, HD95=21.04, NSD=0.2680
CHNCXR_62_0.png: DSC=0.7251, IoU=0.5687, Sens=0.5782, Spec=0.9954, MCC=0.7054, Kappa=0.6723, HD95=24.18, NSD=0.2277
CHNCXR_63_0.png: DSC=0.8427, IoU=0.7282, Sens=0.7441, Spec=0.9916, MCC=0.8049, Kappa=0.7925, HD95=16.63, NSD=0.3848
CHNCXR_64_0.png: DSC=0.7503, IoU=0.6004, Sens=0.6031, Spec=0.9988, MCC=0.7356, Kappa=0.7041, HD95=18.00, NSD=0.2420
CHNCXR_66_0.png: DSC=0.7026, IoU=0.5416, Sens=0.5454, Spec=0.9988, MCC=0.7063, Kappa=0.6689, HD95=21.02, NSD=0.2138
CHNCXR_67_0.png: DSC=0.8019, IoU=0.6693, Sens=0.6792, Spec=0.9951, MCC=0.7715, Kappa=0.7514, HD95=21.00, NSD=0.3046
CHNCXR_68_0.png: DSC=0.8304, IoU=0.7100, Sens=0.7225, Spec=0.9959, MCC=0.8107, Kappa=0.7978, HD95=15.62, NSD=0.3328
CHNCXR_69_0.png: DSC=0.9113, IoU=0.8371, Sens=0.8519, Spec=0.9945, MCC=0.8896, Kappa=0.8860, HD95=8.25, NSD=0.4277
CHNCXR_6_0.png: DSC=0.7377, IoU=0.5844, Sens=0.5864, Spec=0.9989, MCC=0.7191, Kappa=0.6834, HD95=22.52, NSD=0.2233
CHNCXR_70_0.png: DSC=0.8685, IoU=0.7676, Sens=0.7883, Spec=0.9882, MCC=0.8273, Kappa=0.8191, HD95=15.69, NSD=0.3892
CHNCXR_71_0.png: DSC=0.8068, IoU=0.6762, Sens=0.7078, Spec=0.9855, MCC=0.7694, Kappa=0.7574, HD95=21.95, NSD=0.3340
