=== METRICS: train/covid-19 ===

covid_151.png: DSC=0.8089, IoU=0.6791, Sens=0.7211, Spec=0.9804, MCC=0.7669, Kappa=0.7577, HD95=19.13, NSD=0.3318
covid_152.png: DSC=0.3790, IoU=0.2338, Sens=0.5014, Spec=0.8546, MCC=0.2897, Kappa=0.2777, HD95=51.55, NSD=0.0952
covid_153.png: DSC=0.6162, IoU=0.4453, Sens=0.5211, Spec=0.9179, MCC=0.4926, Kappa=0.4772, HD95=40.81, NSD=0.1608
covid_154.png: DSC=0.8298, IoU=0.7091, Sens=0.8543, Spec=0.9576, MCC=0.7938, Kappa=0.7934, HD95=21.21, NSD=0.4480
covid_157.png: DSC=0.8128, IoU=0.6846, Sens=0.7276, Spec=0.9717, MCC=0.7519, Kappa=0.7420, HD95=20.84, NSD=0.2919
covid_158.png: DSC=0.8185, IoU=0.6928, Sens=0.8218, Spec=0.9215, MCC=0.7416, Kappa=0.7416, HD95=28.20, NSD=0.2552
covid_159.png: DSC=0.8349, IoU=0.7166, Sens=0.7201, Spec=0.9982, MCC=0.8042, Kappa=0.7870, HD95=20.40, NSD=0.3208
covid_16.png: DSC=0.7709, IoU=0.6272, Sens=0.8352, Spec=0.9252, MCC=0.7175, Kappa=0.7142, HD95=27.01, NSD=0.2814
covid_160.png: DSC=0.8922, IoU=0.8055, Sens=0.8214, Spec=0.9951, MCC=0.8734, Kappa=0.8685, HD95=11.31, NSD=0.4265
covid_162.png: DSC=0.8135, IoU=0.6856, Sens=0.7099, Spec=0.9850, MCC=0.7646, Kappa=0.7498, HD95=39.54, NSD=0.3753
covid_164.png: DSC=0.6842, IoU=0.5199, Sens=0.7142, Spec=0.8887, MCC=0.5857, Kappa=0.5848, HD95=38.97, NSD=0.2477
covid_165.png: DSC=0.9402, IoU=0.8871, Sens=0.9238, Spec=0.9893, MCC=0.9253, Kappa=0.9250, HD95=5.00, NSD=0.6718
covid_167.png: DSC=0.8012, IoU=0.6683, Sens=0.8999, Spec=0.9263, MCC=0.7603, Kappa=0.7532, HD95=20.51, NSD=0.2866
covid_169.png: DSC=0.9222, IoU=0.8557, Sens=0.8986, Spec=0.9836, MCC=0.8982, Kappa=0.8976, HD95=12.00, NSD=0.5845
covid_17.png: DSC=0.8082, IoU=0.6782, Sens=0.6968, Spec=0.9895, MCC=0.7670, Kappa=0.7502, HD95=28.38, NSD=0.3357
covid_172.png: DSC=0.6762, IoU=0.5108, Sens=0.5604, Spec=0.9794, MCC=0.6427, Kappa=0.6239, HD95=41.00, NSD=0.2130
covid_173.png: DSC=0.9430, IoU=0.8921, Sens=0.9458, Spec=0.9774, MCC=0.9214, Kappa=0.9214, HD95=5.39, NSD=0.6317
covid_174.png: DSC=0.8052, IoU=0.6739, Sens=0.6961, Spec=0.9914, MCC=0.7782, Kappa=0.7641, HD95=17.30, NSD=0.3381
covid_175.png: DSC=0.8369, IoU=0.7196, Sens=0.7666, Spec=0.9793, MCC=0.7968, Kappa=0.7912, HD95=18.93, NSD=0.3158
covid_176.png: DSC=0.8679, IoU=0.7667, Sens=0.7902, Spec=0.9769, MCC=0.7949, Kappa=0.7846, HD95=19.60, NSD=0.3107
covid_178.png: DSC=0.7409, IoU=0.5884, Sens=0.9613, Spec=0.8697, MCC=0.7024, Kappa=0.6722, HD95=36.36, NSD=0.3012
covid_180.png: DSC=0.9474, IoU=0.9000, Sens=0.9507, Spec=0.9859, MCC=0.9341, Kappa=0.9341, HD95=5.00, NSD=0.6789
covid_181.png: DSC=0.7655, IoU=0.6201, Sens=0.6219, Spec=0.9980, MCC=0.7002, Kappa=0.6598, HD95=36.73, NSD=0.2450
covid_183.png: DSC=0.7921, IoU=0.6557, Sens=0.7236, Spec=0.9766, MCC=0.7553, Kappa=0.7504, HD95=28.92, NSD=0.2751
covid_184.png: DSC=0.8287, IoU=0.7075, Sens=0.7655, Spec=0.9794, MCC=0.7941, Kappa=0.7900, HD95=16.00, NSD=0.3847
covid_187.png: DSC=0.7033, IoU=0.5424, Sens=0.5431, Spec=0.9993, MCC=0.6564, Kappa=0.6032, HD95=38.62, NSD=0.1413
covid_188.png: DSC=0.9022, IoU=0.8218, Sens=0.8953, Spec=0.9733, MCC=0.8733, Kappa=0.8733, HD95=12.17, NSD=0.5928
covid_190.png: DSC=0.8214, IoU=0.6970, Sens=0.9136, Spec=0.8956, MCC=0.7605, Kappa=0.7531, HD95=25.71, NSD=0.4011
covid_191.png: DSC=0.7110, IoU=0.5516, Sens=0.8499, Spec=0.8928, MCC=0.6557, Kappa=0.6421, HD95=24.74, NSD=0.2707
covid_192.png: DSC=0.8666, IoU=0.7646, Sens=0.8041, Spec=0.9790, MCC=0.8227, Kappa=0.8180, HD95=20.91, NSD=0.4272
covid_193.png: DSC=0.8353, IoU=0.7171, Sens=0.7250, Spec=0.9961, MCC=0.8040, Kappa=0.7885, HD95=21.59, NSD=0.3693
covid_196.png: DSC=0.6567, IoU=0.4889, Sens=0.5002, Spec=0.9949, MCC=0.6508, Kappa=0.6078, HD95=24.49, NSD=0.1930
covid_197.png: DSC=0.8851, IoU=0.7939, Sens=0.8266, Spec=0.9873, MCC=0.8565, Kappa=0.8530, HD95=14.91, NSD=0.4291
covid_198.png: DSC=0.8631, IoU=0.7592, Sens=0.7613, Spec=0.9991, MCC=0.8384, Kappa=0.8262, HD95=13.89, NSD=0.3407
covid_199.png: DSC=0.5985, IoU=0.4271, Sens=0.4445, Spec=0.9845, MCC=0.5633, Kappa=0.5105, HD95=36.04, NSD=0.2137
covid_20.png: DSC=0.8487, IoU=0.7371, Sens=0.9325, Spec=0.9665, MCC=0.8319, Kappa=0.8276, HD95=16.28, NSD=0.5267
covid_200.png: DSC=0.7171, IoU=0.5590, Sens=0.9244, Spec=0.9003, MCC=0.6875, Kappa=0.6625, HD95=28.48, NSD=0.2659
covid_201.png: DSC=0.8871, IoU=0.7972, Sens=0.8874, Spec=0.9829, MCC=0.8701, Kappa=0.8701, HD95=12.14, NSD=0.5264
covid_202.png: DSC=0.9391, IoU=0.8853, Sens=0.9096, Spec=0.9929, MCC=0.9249, Kappa=0.9241, HD95=6.33, NSD=0.6484
covid_203.png: DSC=0.5215, IoU=0.3527, Sens=0.6800, Spec=0.6621, MCC=0.3058, Kappa=0.2867, HD95=70.62, NSD=0.1269
covid_204.png: DSC=0.8038, IoU=0.6720, Sens=0.6729, Spec=0.9997, MCC=0.7857, Kappa=0.7638, HD95=25.86, NSD=0.1932
covid_205.png: DSC=0.9578, IoU=0.9191, Sens=0.9504, Spec=0.9869, MCC=0.9419, Kappa=0.9418, HD95=4.47, NSD=0.7409
covid_206.png: DSC=0.5944, IoU=0.4229, Sens=0.5035, Spec=0.9489, MCC=0.5220, Kappa=0.5094, HD95=61.42, NSD=0.1281
covid_207.png: DSC=0.7126, IoU=0.5536, Sens=0.6487, Spec=0.9413, MCC=0.6322, Kappa=0.6270, HD95=43.86, NSD=0.3048
covid_208.png: DSC=0.8628, IoU=0.7587, Sens=0.7758, Spec=0.9922, MCC=0.8312, Kappa=0.8224, HD95=26.21, NSD=0.5407
covid_209.png: DSC=0.7343, IoU=0.5801, Sens=0.6100, Spec=0.9821, MCC=0.6885, Kappa=0.6654, HD95=39.30, NSD=0.1958
covid_210.png: DSC=0.9308, IoU=0.8705, Sens=0.8781, Spec=0.9972, MCC=0.9129, Kappa=0.9101, HD95=9.00, NSD=0.6210
covid_212.png: DSC=0.8831, IoU=0.7906, Sens=0.8372, Spec=0.9625, MCC=0.8183, Kappa=0.8152, HD95=15.00, NSD=0.3420
covid_213.png: DSC=0.8805, IoU=0.7866, Sens=0.8798, Spec=0.9761, MCC=0.8565, Kappa=0.8565, HD95=28.01, NSD=0.5438
covid_215.png: DSC=0.8121, IoU=0.6836, Sens=0.9269, Spec=0.9141, MCC=0.7693, Kappa=0.7595, HD95=26.10, NSD=0.3505
covid_216.png: DSC=0.9018, IoU=0.8212, Sens=0.8670, Spec=0.9861, MCC=0.8796, Kappa=0.8785, HD95=9.35, NSD=0.3927
covid_217.png: DSC=0.8816, IoU=0.7882, Sens=0.8010, Spec=0.9959, MCC=0.8617, Kappa=0.8551, HD95=14.14, NSD=0.4867
covid_218.png: DSC=0.8313, IoU=0.7113, Sens=0.8411, Spec=0.9357, MCC=0.7710, Kappa=0.7709, HD95=18.68, NSD=0.2615
covid_219.png: DSC=0.7490, IoU=0.5987, Sens=0.9681, Spec=0.7825, MCC=0.6692, Kappa=0.6311, HD95=27.82, NSD=0.2015
covid_22.png: DSC=0.5539, IoU=0.3830, Sens=0.9930, Spec=0.7263, MCC=0.5245, Kappa=0.4342, HD95=51.35, NSD=0.0790
covid_220.png: DSC=0.8028, IoU=0.6706, Sens=0.7095, Spec=0.9675, MCC=0.7270, Kappa=0.7136, HD95=33.00, NSD=0.2614
covid_221.png: DSC=0.6912, IoU=0.5281, Sens=0.8192, Spec=0.8979, MCC=0.6348, Kappa=0.6231, HD95=50.11, NSD=0.3686
covid_222.png: DSC=0.8964, IoU=0.8122, Sens=0.9195, Spec=0.9532, MCC=0.8590, Kappa=0.8584, HD95=13.42, NSD=0.4559
covid_225.png: DSC=0.9477, IoU=0.9007, Sens=0.9462, Spec=0.9792, MCC=0.9263, Kappa=0.9263, HD95=5.66, NSD=0.6644
covid_227.png: DSC=0.7620, IoU=0.6155, Sens=0.8745, Spec=0.8909, MCC=0.6999, Kappa=0.6900, HD95=36.48, NSD=0.3059
covid_228.png: DSC=0.8740, IoU=0.7763, Sens=0.7972, Spec=0.9808, MCC=0.8080, Kappa=0.7983, HD95=18.23, NSD=0.2253
covid_229.png: DSC=0.7198, IoU=0.5623, Sens=0.5960, Spec=0.9910, MCC=0.7066, Kappa=0.6874, HD95=34.81, NSD=0.2516
covid_23.png: DSC=0.9486, IoU=0.9022, Sens=0.9282, Spec=0.9927, MCC=0.9362, Kappa=0.9359, HD95=4.12, NSD=0.7470
covid_231.png: DSC=0.8091, IoU=0.6794, Sens=0.8482, Spec=0.9561, MCC=0.7747, Kappa=0.7736, HD95=15.00, NSD=0.2277
covid_232.png: DSC=0.7597, IoU=0.6126, Sens=0.6243, Spec=0.9859, MCC=0.6769, Kappa=0.6402, HD95=32.53, NSD=0.1596
covid_233.png: DSC=0.9536, IoU=0.9114, Sens=0.9349, Spec=0.9914, MCC=0.9389, Kappa=0.9385, HD95=5.00, NSD=0.7687
covid_235.png: DSC=0.9054, IoU=0.8271, Sens=0.8423, Spec=0.9910, MCC=0.8689, Kappa=0.8638, HD95=12.00, NSD=0.4284
covid_236.png: DSC=0.8111, IoU=0.6823, Sens=0.7531, Spec=0.9870, MCC=0.7925, Kappa=0.7895, HD95=14.06, NSD=0.3172
covid_237.png: DSC=0.7960, IoU=0.6611, Sens=0.6642, Spec=0.9966, MCC=0.7270, Kappa=0.6941, HD95=29.73, NSD=0.3069
covid_239.png: DSC=0.8894, IoU=0.8009, Sens=0.8571, Spec=0.9695, MCC=0.8452, Kappa=0.8440, HD95=15.49, NSD=0.4785
covid_24.png: DSC=0.9295, IoU=0.8682, Sens=0.8852, Spec=0.9868, MCC=0.8885, Kappa=0.8856, HD95=9.87, NSD=0.5041
covid_241.png: DSC=0.8440, IoU=0.7300, Sens=0.7473, Spec=0.9921, MCC=0.8117, Kappa=0.8005, HD95=24.15, NSD=0.3679
covid_242.png: DSC=0.9044, IoU=0.8254, Sens=0.8496, Spec=0.9907, MCC=0.8796, Kappa=0.8766, HD95=12.79, NSD=0.4966
covid_243.png: DSC=0.5657, IoU=0.3944, Sens=0.4055, Spec=0.9812, MCC=0.5003, Kappa=0.4269, HD95=36.06, NSD=0.0115
covid_244.png: DSC=0.8807, IoU=0.7868, Sens=0.7917, Spec=0.9971, MCC=0.8447, Kappa=0.8343, HD95=21.59, NSD=0.4147
covid_245.png: DSC=0.8285, IoU=0.7072, Sens=0.7363, Spec=0.9814, MCC=0.7758, Kappa=0.7642, HD95=16.49, NSD=0.2533
covid_246.png: DSC=0.8962, IoU=0.8119, Sens=0.8728, Spec=0.9757, MCC=0.8643, Kappa=0.8637, HD95=9.00, NSD=0.2946
covid_248.png: DSC=0.9175, IoU=0.8475, Sens=0.8877, Spec=0.9902, MCC=0.9019, Kappa=0.9012, HD95=9.22, NSD=0.6078
covid_249.png: DSC=0.5800, IoU=0.4084, Sens=0.7745, Spec=0.8313, MCC=0.5014, Kappa=0.4761, HD95=47.41, NSD=0.2144
covid_25.png: DSC=0.9016, IoU=0.8209, Sens=0.8574, Spec=0.9836, MCC=0.8699, Kappa=0.8678, HD95=10.63, NSD=0.4128
covid_251.png: DSC=0.8167, IoU=0.6902, Sens=0.7061, Spec=0.9866, MCC=0.7540, Kappa=0.7343, HD95=41.02, NSD=0.2480
covid_252.png: DSC=0.7572, IoU=0.6092, Sens=0.7699, Spec=0.9534, MCC=0.7135, Kappa=0.7134, HD95=28.43, NSD=0.3043
covid_257.png: DSC=0.6611, IoU=0.4937, Sens=0.6336, Spec=0.9046, MCC=0.5544, Kappa=0.5535, HD95=39.81, NSD=0.3103
covid_259.png: DSC=0.8276, IoU=0.7059, Sens=0.7653, Spec=0.9780, MCC=0.7911, Kappa=0.7871, HD95=30.01, NSD=0.3738
covid_263.png: DSC=0.8407, IoU=0.7252, Sens=0.7304, Spec=0.9968, MCC=0.8007, Kappa=0.7837, HD95=20.62, NSD=0.3489
covid_264.png: DSC=0.7821, IoU=0.6422, Sens=0.7704, Spec=0.9634, MCC=0.7430, Kappa=0.7429, HD95=20.88, NSD=0.3513
covid_267.png: DSC=0.8090, IoU=0.6792, Sens=0.7018, Spec=0.9944, MCC=0.7946, Kappa=0.7825, HD95=17.57, NSD=0.3689
covid_27.png: DSC=0.8622, IoU=0.7577, Sens=0.8731, Spec=0.9681, MCC=0.8330, Kappa=0.8329, HD95=22.67, NSD=0.4492
covid_28.png: DSC=0.9198, IoU=0.8515, Sens=0.8772, Spec=0.9871, MCC=0.8898, Kappa=0.8877, HD95=10.43, NSD=0.5255
covid_29.png: DSC=0.9319, IoU=0.8725, Sens=0.9118, Spec=0.9879, MCC=0.9145, Kappa=0.9142, HD95=8.02, NSD=0.6327
covid_31.png: DSC=0.8486, IoU=0.7371, Sens=0.7777, Spec=0.9548, MCC=0.7527, Kappa=0.7437, HD95=22.38, NSD=0.3607
covid_32.png: DSC=0.7812, IoU=0.6410, Sens=0.6479, Spec=0.9946, MCC=0.7319, Kappa=0.7027, HD95=21.00, NSD=0.2175
covid_33.png: DSC=0.8346, IoU=0.7161, Sens=0.7396, Spec=0.9850, MCC=0.7846, Kappa=0.7723, HD95=18.05, NSD=0.3134
covid_35.png: DSC=0.8209, IoU=0.6962, Sens=0.8123, Spec=0.9720, MCC=0.7913, Kappa=0.7912, HD95=28.23, NSD=0.4359
covid_37.png: DSC=0.7994, IoU=0.6659, Sens=0.7151, Spec=0.9800, MCC=0.7611, Kappa=0.7531, HD95=23.00, NSD=0.2128
covid_38.png: DSC=0.8762, IoU=0.7796, Sens=0.9715, Spec=0.9571, MCC=0.8580, Kappa=0.8521, HD95=16.72, NSD=0.5047
covid_39.png: DSC=0.7621, IoU=0.6157, Sens=0.9608, Spec=0.8834, MCC=0.7249, Kappa=0.6997, HD95=27.80, NSD=0.2280
covid_4.png: DSC=0.8975, IoU=0.8140, Sens=0.8696, Spec=0.9826, MCC=0.8731, Kappa=0.8724, HD95=8.56, NSD=0.4698
covid_41.png: DSC=0.8342, IoU=0.7156, Sens=0.9403, Spec=0.9346, MCC=0.8027, Kappa=0.7948, HD95=13.38, NSD=0.3774
covid_42.png: DSC=0.8867, IoU=0.7965, Sens=0.8120, Spec=0.9949, MCC=0.8660, Kappa=0.8604, HD95=10.30, NSD=0.3465
covid_44.png: DSC=0.8959, IoU=0.8114, Sens=0.8579, Spec=0.9877, MCC=0.8760, Kappa=0.8748, HD95=7.00, NSD=0.3465
covid_45.png: DSC=0.8356, IoU=0.7176, Sens=0.7686, Spec=0.9717, MCC=0.7833, Kappa=0.7779, HD95=15.84, NSD=0.2620
covid_47.png: DSC=0.8838, IoU=0.7919, Sens=0.9277, Spec=0.9638, MCC=0.8593, Kappa=0.8579, HD95=12.20, NSD=0.4872
covid_49.png: DSC=0.8503, IoU=0.7395, Sens=0.7806, Spec=0.9872, MCC=0.8242, Kappa=0.8194, HD95=20.05, NSD=0.3983
