=== METRICS: train/tb ===

CHNCXR_4_0.png: DSC=0.2883, IoU=0.1684, Sens=0.1684, Spec=1.0000, MCC=0.3685, Kappa=0.2392, HD95=150.30, NSD=0.0166
CHNCXR_50_0.png: DSC=0.5162, IoU=0.3479, Sens=0.3493, Spec=0.9989, MCC=0.5414, Kappa=0.4569, HD95=115.09, NSD=0.1439
CHNCXR_51_0.png: DSC=0.3616, IoU=0.2207, Sens=0.2213, Spec=0.9993, MCC=0.4247, Kappa=0.3090, HD95=196.60, NSD=0.0570
CHNCXR_52_0.png: DSC=0.3549, IoU=0.2157, Sens=0.2163, Spec=0.9991, MCC=0.4087, Kappa=0.2897, HD95=200.42, NSD=0.1066
CHNCXR_53_0.png: DSC=0.3486, IoU=0.2111, Sens=0.2116, Spec=0.9994, MCC=0.4156, Kappa=0.2973, HD95=179.29, NSD=0.1336
CHNCXR_54_0.png: DSC=0.2606, IoU=0.1498, Sens=0.1506, Spec=0.9985, MCC=0.3402, Kappa=0.2151, HD95=221.41, NSD=0.0117
CHNCXR_55_0.png: DSC=0.3820, IoU=0.2361, Sens=0.2367, Spec=0.9993, MCC=0.4407, Kappa=0.3285, HD95=169.20, NSD=0.0549
CHNCXR_56_0.png: DSC=0.2033, IoU=0.1131, Sens=0.1131, Spec=1.0000, MCC=0.3105, Kappa=0.1759, HD95=257.12, NSD=0.0000
CHNCXR_57_0.png: DSC=0.2091, IoU=0.1168, Sens=0.1168, Spec=1.0000, MCC=0.3110, Kappa=0.1764, HD95=286.79, NSD=0.0000
CHNCXR_58_0.png: DSC=0.4153, IoU=0.2621, Sens=0.2621, Spec=1.0000, MCC=0.4823, Kappa=0.3775, HD95=139.24, NSD=0.0072
CHNCXR_59_0.png: DSC=0.4238, IoU=0.2689, Sens=0.2689, Spec=1.0000, MCC=0.4786, Kappa=0.3727, HD95=92.31, NSD=0.0000
CHNCXR_5_0.png: DSC=0.3640, IoU=0.2225, Sens=0.2232, Spec=0.9989, MCC=0.4185, Kappa=0.3024, HD95=155.38, NSD=0.1102
CHNCXR_60_0.png: DSC=0.6959, IoU=0.5336, Sens=0.5398, Spec=0.9974, MCC=0.6899, Kappa=0.6508, HD95=58.00, NSD=0.1510
CHNCXR_61_0.png: DSC=0.4780, IoU=0.3140, Sens=0.3190, Spec=0.9935, MCC=0.4788, Kappa=0.3889, HD95=142.00, NSD=0.0608
CHNCXR_62_0.png: DSC=0.2448, IoU=0.1395, Sens=0.1402, Spec=0.9986, MCC=0.3273, Kappa=0.2009, HD95=234.94, NSD=0.0921
CHNCXR_63_0.png: DSC=0.3271, IoU=0.1955, Sens=0.1956, Spec=0.9999, MCC=0.3857, Kappa=0.2594, HD95=248.83, NSD=0.0465
CHNCXR_64_0.png: DSC=0.2846, IoU=0.1659, Sens=0.1660, Spec=0.9999, MCC=0.3685, Kappa=0.2398, HD95=148.46, NSD=0.0242
CHNCXR_66_0.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
CHNCXR_67_0.png: DSC=0.3525, IoU=0.2140, Sens=0.2140, Spec=0.9999, MCC=0.4121, Kappa=0.2906, HD95=232.18, NSD=0.0216
CHNCXR_68_0.png: DSC=0.3555, IoU=0.2162, Sens=0.2166, Spec=0.9996, MCC=0.4253, Kappa=0.3085, HD95=153.96, NSD=0.1320
CHNCXR_69_0.png: DSC=0.2997, IoU=0.1763, Sens=0.1769, Spec=0.9989, MCC=0.3693, Kappa=0.2448, HD95=207.83, NSD=0.0282
CHNCXR_6_0.png: DSC=0.3341, IoU=0.2006, Sens=0.2006, Spec=1.0000, MCC=0.4021, Kappa=0.2784, HD95=163.36, NSD=0.0100
CHNCXR_70_0.png: DSC=0.2766, IoU=0.1605, Sens=0.1610, Spec=0.9985, MCC=0.3365, Kappa=0.2085, HD95=237.47, NSD=0.1494
CHNCXR_71_0.png: DSC=0.3534, IoU=0.2146, Sens=0.2156, Spec=0.9986, MCC=0.4098, Kappa=0.2930, HD95=175.41, NSD=0.0951
CHNCXR_72_0.png: DSC=0.3990, IoU=0.2492, Sens=0.2509, Spec=0.9975, MCC=0.4327, Kappa=0.3233, HD95=224.62, NSD=0.0715
CHNCXR_73_0.png: DSC=0.1092, IoU=0.0578, Sens=0.0578, Spec=1.0000, MCC=0.2205, Kappa=0.0927, HD95=269.96, NSD=0.0000
CHNCXR_74_0.png: DSC=0.2933, IoU=0.1718, Sens=0.1749, Spec=0.9973, MCC=0.3705, Kappa=0.2624, HD95=202.73, NSD=0.0638
CHNCXR_75_0.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
CHNCXR_76_0.png: DSC=0.1627, IoU=0.0886, Sens=0.0901, Spec=0.9970, MCC=0.2473, Kappa=0.1376, HD95=354.74, NSD=0.0648
CHNCXR_77_0.png: DSC=0.3324, IoU=0.1994, Sens=0.1995, Spec=0.9998, MCC=0.4085, Kappa=0.2872, HD95=255.62, NSD=0.0963
CHNCXR_78_0.png: DSC=0.2913, IoU=0.1705, Sens=0.1706, Spec=0.9998, MCC=0.3647, Kappa=0.2357, HD95=201.93, NSD=0.0944
CHNCXR_79_0.png: DSC=0.3669, IoU=0.2247, Sens=0.2250, Spec=0.9996, MCC=0.4233, Kappa=0.3055, HD95=267.00, NSD=0.0928
CHNCXR_7_0.png: DSC=0.3619, IoU=0.2209, Sens=0.2212, Spec=0.9993, MCC=0.3916, Kappa=0.2676, HD95=150.29, NSD=0.0630
CHNCXR_80_0.png: DSC=0.1570, IoU=0.0852, Sens=0.0852, Spec=1.0000, MCC=0.2655, Kappa=0.1317, HD95=280.61, NSD=0.0185
