=== METRICS FOR jsrt ===

JPCLN091.png: DSC=0.4783, IoU=0.3143, HD95=289.41
JPCLN092.png: DSC=0.5466, IoU=0.3761, HD95=246.10
JPCLN093.png: DSC=0.7312, IoU=0.5763, HD95=79.63
JPCLN094.png: DSC=0.5400, IoU=0.3698, HD95=137.14
JPCLN095.png: DSC=0.4511, IoU=0.2913, HD95=194.44
JPCLN096.png: DSC=0.6819, IoU=0.5173, HD95=176.80
JPCLN097.png: DSC=0.3580, IoU=0.2180, HD95=118.00
JPCLN098.png: DSC=0.7807, IoU=0.6402, HD95=49.42
JPCLN099.png: DSC=0.8123, IoU=0.6839, HD95=44.31
JPCLN100.png: DSC=0.4692, IoU=0.3065, HD95=238.62
JPCLN101.png: DSC=0.4478, IoU=0.2885, HD95=216.37
JPCLN102.png: DSC=0.8545, IoU=0.7459, HD95=34.61
JPCLN103.png: DSC=0.5750, IoU=0.4035, HD95=88.77
JPCLN104.png: DSC=0.8588, IoU=0.7525, HD95=29.64
JPCLN105.png: DSC=0.2285, IoU=0.1290, HD95=294.49
JPCLN106.png: DSC=0.8691, IoU=0.7685, HD95=34.45
JPCLN107.png: DSC=0.5408, IoU=0.3706, HD95=340.99
JPCLN108.png: DSC=0.6861, IoU=0.5222, HD95=151.16
JPCLN109.png: DSC=0.6595, IoU=0.4919, HD95=86.13
JPCLN110.png: DSC=0.7391, IoU=0.5862, HD95=210.23
JPCLN111.png: DSC=0.6095, IoU=0.4384, HD95=125.41
JPCLN112.png: DSC=0.4341, IoU=0.2772, HD95=112.48
JPCLN113.png: DSC=0.7833, IoU=0.6438, HD95=45.20
JPCLN114.png: DSC=0.6553, IoU=0.4874, HD95=62.00
JPCLN115.png: DSC=0.7987, IoU=0.6648, HD95=62.94
JPCLN116.png: DSC=0.8786, IoU=0.7834, HD95=29.07
JPCLN117.png: DSC=0.8455, IoU=0.7324, HD95=44.05
JPCLN118.png: DSC=0.5553, IoU=0.3844, HD95=166.61
JPCLN119.png: DSC=0.4870, IoU=0.3219, HD95=115.11
JPCLN120.png: DSC=0.7756, IoU=0.6334, HD95=90.87
JPCLN121.png: DSC=0.6098, IoU=0.4387, HD95=154.04
JPCLN122.png: DSC=0.8927, IoU=0.8063, HD95=21.93
JPCLN123.png: DSC=0.6911, IoU=0.5280, HD95=59.64
JPCLN124.png: DSC=0.1380, IoU=0.0741, HD95=304.56
JPCLN125.png: DSC=0.6918, IoU=0.5288, HD95=132.44
JPCLN126.png: DSC=0.8163, IoU=0.6897, HD95=62.55
JPCLN127.png: DSC=0.6901, IoU=0.5268, HD95=67.36
JPCLN128.png: DSC=0.6760, IoU=0.5105, HD95=120.89
JPCLN129.png: DSC=0.6425, IoU=0.4733, HD95=134.59
JPCLN130.png: DSC=0.6890, IoU=0.5255, HD95=91.06
JPCLN131.png: DSC=0.6224, IoU=0.4518, HD95=85.62
JPCLN132.png: DSC=0.8307, IoU=0.7105, HD95=67.00
JPCLN133.png: DSC=0.7570, IoU=0.6089, HD95=51.59
