=== METRICS: train/normal ===

Normal (1446).png: DSC=0.4332, IoU=0.2765, Sens=0.2769, Spec=0.9998, MCC=0.4956, Kappa=0.3959, HD95=51.83, NSD=0.2867
Normal (1447).png: DSC=0.8636, IoU=0.7600, Sens=0.7766, Spec=0.9872, MCC=0.8085, Kappa=0.7972, HD95=14.14, NSD=0.3078
Normal (1448).png: DSC=0.8822, IoU=0.7892, Sens=0.8468, Spec=0.9812, MCC=0.8545, Kappa=0.8534, HD95=9.06, NSD=0.2960
Normal (1449).png: DSC=0.8743, IoU=0.7766, Sens=0.7882, Spec=0.9941, MCC=0.8406, Kappa=0.8315, HD95=13.44, NSD=0.3619
Normal (1450).png: DSC=0.5412, IoU=0.3710, Sens=0.3738, Spec=0.9963, MCC=0.5255, Kappa=0.4401, HD95=120.66, NSD=0.1832
Normal (1451).png: DSC=0.8465, IoU=0.7339, Sens=0.7652, Spec=0.9847, MCC=0.8069, Kappa=0.7990, HD95=12.65, NSD=0.3343
Normal (1452).png: DSC=0.9018, IoU=0.8212, Sens=0.8724, Spec=0.9781, MCC=0.8698, Kappa=0.8689, HD95=9.04, NSD=0.3708
Normal (1453).png: DSC=0.8879, IoU=0.7985, Sens=0.8251, Spec=0.9847, MCC=0.8471, Kappa=0.8422, HD95=11.70, NSD=0.3434
Normal (1454).png: DSC=0.8197, IoU=0.6945, Sens=0.7749, Spec=0.9774, MCC=0.7888, Kappa=0.7869, HD95=16.65, NSD=0.3002
Normal (1455).png: DSC=0.8663, IoU=0.7642, Sens=0.8186, Spec=0.9767, MCC=0.8283, Kappa=0.8259, HD95=12.65, NSD=0.3190
Normal (1456).png: DSC=0.8915, IoU=0.8042, Sens=0.8380, Spec=0.9854, MCC=0.8600, Kappa=0.8570, HD95=11.00, NSD=0.4142
Normal (1457).png: DSC=0.5806, IoU=0.4090, Sens=0.4134, Spec=0.9952, MCC=0.5582, Kappa=0.4842, HD95=117.07, NSD=0.2809
Normal (1458).png: DSC=0.8037, IoU=0.6719, Sens=0.6806, Spec=0.9948, MCC=0.7657, Kappa=0.7441, HD95=27.68, NSD=0.4021
Normal (1459).png: DSC=0.8903, IoU=0.8023, Sens=0.8562, Spec=0.9786, MCC=0.8584, Kappa=0.8572, HD95=11.66, NSD=0.3275
Normal (1460).png: DSC=0.5840, IoU=0.4124, Sens=0.4388, Spec=0.9736, MCC=0.5299, Kappa=0.4830, HD95=111.48, NSD=0.1378
Normal (1461).png: DSC=0.8889, IoU=0.8001, Sens=0.8170, Spec=0.9899, MCC=0.8493, Kappa=0.8427, HD95=12.04, NSD=0.3604
Normal (1462).png: DSC=0.6174, IoU=0.4465, Sens=0.4477, Spec=0.9993, MCC=0.6186, Kappa=0.5554, HD95=30.39, NSD=0.1359
Normal (1463).png: DSC=0.8999, IoU=0.8180, Sens=0.8469, Spec=0.9867, MCC=0.8684, Kappa=0.8653, HD95=9.90, NSD=0.3503
Normal (1464).png: DSC=0.7640, IoU=0.6181, Sens=0.6277, Spec=0.9953, MCC=0.7383, Kappa=0.7119, HD95=29.00, NSD=0.2267
Normal (1465).png: DSC=0.8697, IoU=0.7694, Sens=0.8016, Spec=0.9852, MCC=0.8339, Kappa=0.8287, HD95=12.00, NSD=0.2787
Normal (1466).png: DSC=0.8663, IoU=0.7642, Sens=0.7858, Spec=0.9814, MCC=0.8028, Kappa=0.7926, HD95=16.42, NSD=0.3439
Normal (1467).png: DSC=0.8764, IoU=0.7801, Sens=0.7834, Spec=0.9990, MCC=0.8604, Kappa=0.8516, HD95=9.00, NSD=0.3261
Normal (1468).png: DSC=0.8001, IoU=0.6668, Sens=0.6927, Spec=0.9862, MCC=0.7585, Kappa=0.7433, HD95=23.02, NSD=0.2492
Normal (1469).png: DSC=0.8793, IoU=0.7846, Sens=0.8131, Spec=0.9856, MCC=0.8419, Kappa=0.8368, HD95=14.32, NSD=0.4084
Normal (1470).png: DSC=0.8532, IoU=0.7440, Sens=0.7561, Spec=0.9960, MCC=0.8329, Kappa=0.8228, HD95=15.00, NSD=0.3792
Normal (1471).png: DSC=0.8869, IoU=0.7968, Sens=0.8374, Spec=0.9753, MCC=0.8398, Kappa=0.8368, HD95=11.18, NSD=0.3300
Normal (1472).png: DSC=0.6191, IoU=0.4483, Sens=0.4663, Spec=0.9781, MCC=0.5540, Kappa=0.5002, HD95=72.96, NSD=0.1658
Normal (1473).png: DSC=0.7606, IoU=0.6137, Sens=0.6256, Spec=0.9900, MCC=0.7051, Kappa=0.6740, HD95=36.18, NSD=0.2524
Normal (1474).png: DSC=0.8250, IoU=0.7022, Sens=0.7632, Spec=0.9722, MCC=0.7792, Kappa=0.7750, HD95=17.20, NSD=0.3101
Normal (1475).png: DSC=0.8723, IoU=0.7735, Sens=0.7855, Spec=0.9957, MCC=0.8500, Kappa=0.8420, HD95=10.57, NSD=0.3372
Normal (1476).png: DSC=0.8454, IoU=0.7322, Sens=0.7975, Spec=0.9702, MCC=0.8003, Kappa=0.7978, HD95=18.38, NSD=0.2812
Normal (1477).png: DSC=0.8998, IoU=0.8178, Sens=0.8748, Spec=0.9777, MCC=0.8695, Kappa=0.8689, HD95=9.00, NSD=0.4022
Normal (1478).png: DSC=0.0284, IoU=0.0144, Sens=0.0144, Spec=1.0000, MCC=0.0993, Kappa=0.0195, HD95=175.88, NSD=0.0000
Normal (1479).png: DSC=0.9142, IoU=0.8419, Sens=0.8852, Spec=0.9749, MCC=0.8753, Kappa=0.8743, HD95=10.00, NSD=0.4072
Normal (1480).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
Normal (1481).png: DSC=0.8081, IoU=0.6779, Sens=0.7358, Spec=0.9733, MCC=0.7615, Kappa=0.7555, HD95=22.97, NSD=0.2694
Normal (1482).png: DSC=0.8522, IoU=0.7425, Sens=0.7671, Spec=0.9846, MCC=0.8038, Kappa=0.7942, HD95=18.02, NSD=0.2937
Normal (1483).png: DSC=0.8406, IoU=0.7250, Sens=0.7397, Spec=0.9964, MCC=0.8268, Kappa=0.8165, HD95=18.78, NSD=0.3403
Normal (1484).png: DSC=0.8688, IoU=0.7680, Sens=0.8085, Spec=0.9867, MCC=0.8423, Kappa=0.8387, HD95=12.01, NSD=0.2807
Normal (1485).png: DSC=0.6262, IoU=0.4558, Sens=0.4635, Spec=0.9910, MCC=0.5804, Kappa=0.5173, HD95=105.17, NSD=0.2202
Normal (1486).png: DSC=0.8642, IoU=0.7608, Sens=0.7735, Spec=0.9934, MCC=0.8287, Kappa=0.8185, HD95=12.00, NSD=0.3953
Normal (1487).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9900, MCC=-0.0602, Kappa=-0.0127, HD95=189.51, NSD=0.0000
Normal (1488).png: DSC=0.8620, IoU=0.7575, Sens=0.7685, Spec=0.9938, MCC=0.8244, Kappa=0.8132, HD95=14.76, NSD=0.3812
Normal (1489).png: DSC=0.9159, IoU=0.8449, Sens=0.8768, Spec=0.9873, MCC=0.8909, Kappa=0.8893, HD95=9.90, NSD=0.4372
Normal (1490).png: DSC=0.9061, IoU=0.8283, Sens=0.8967, Spec=0.9548, MCC=0.8556, Kappa=0.8555, HD95=12.08, NSD=0.3274
Normal (1491).png: DSC=0.9087, IoU=0.8328, Sens=0.8874, Spec=0.9790, MCC=0.8809, Kappa=0.8804, HD95=12.34, NSD=0.4286
Normal (1492).png: DSC=0.5612, IoU=0.3901, Sens=0.3913, Spec=0.9987, MCC=0.5575, Kappa=0.4770, HD95=44.77, NSD=0.1362
Normal (1493).png: DSC=0.7794, IoU=0.6385, Sens=0.6476, Spec=0.9918, MCC=0.7194, Kappa=0.6893, HD95=24.33, NSD=0.2831
Normal (1494).png: DSC=0.6166, IoU=0.4457, Sens=0.4477, Spec=0.9989, MCC=0.6228, Kappa=0.5621, HD95=51.25, NSD=0.1324
Normal (1495).png: DSC=0.8914, IoU=0.8041, Sens=0.8627, Spec=0.9752, MCC=0.8569, Kappa=0.8561, HD95=11.66, NSD=0.3229
Normal (1496).png: DSC=0.9185, IoU=0.8492, Sens=0.8889, Spec=0.9816, MCC=0.8887, Kappa=0.8878, HD95=9.22, NSD=0.4465
Normal (1497).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
Normal (1498).png: DSC=0.9016, IoU=0.8208, Sens=0.8600, Spec=0.9792, MCC=0.8636, Kappa=0.8616, HD95=9.06, NSD=0.3262
Normal (1499).png: DSC=0.8651, IoU=0.7623, Sens=0.7892, Spec=0.9919, MCC=0.8435, Kappa=0.8379, HD95=11.95, NSD=0.3631
Normal (1500).png: DSC=0.8928, IoU=0.8064, Sens=0.8421, Spec=0.9884, MCC=0.8693, Kappa=0.8669, HD95=14.03, NSD=0.3949
Normal (1501).png: DSC=0.9121, IoU=0.8384, Sens=0.8723, Spec=0.9770, MCC=0.8678, Kappa=0.8657, HD95=10.77, NSD=0.4361
Normal (1502).png: DSC=0.5441, IoU=0.3737, Sens=0.3886, Spec=0.9835, MCC=0.5110, Kappa=0.4466, HD95=108.17, NSD=0.2128
Normal (1503).png: DSC=0.7692, IoU=0.6250, Sens=0.6271, Spec=0.9991, MCC=0.7541, Kappa=0.7263, HD95=23.60, NSD=0.2548
Normal (1504).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
Normal (1505).png: DSC=0.8683, IoU=0.7672, Sens=0.7797, Spec=0.9948, MCC=0.8410, Kappa=0.8321, HD95=12.00, NSD=0.3277
Normal (1506).png: DSC=0.9083, IoU=0.8321, Sens=0.8502, Spec=0.9954, MCC=0.8934, Kappa=0.8904, HD95=7.75, NSD=0.5100
Normal (1507).png: DSC=0.8495, IoU=0.7383, Sens=0.9024, Spec=0.9049, MCC=0.7824, Kappa=0.7795, HD95=22.47, NSD=0.2855
Normal (1508).png: DSC=0.5692, IoU=0.3978, Sens=0.3997, Spec=0.9981, MCC=0.5651, Kappa=0.4882, HD95=88.00, NSD=0.2052
Normal (1509).png: DSC=0.8684, IoU=0.7675, Sens=0.7808, Spec=0.9908, MCC=0.8209, Kappa=0.8101, HD95=14.16, NSD=0.2870
Normal (1510).png: DSC=0.5919, IoU=0.4204, Sens=0.4294, Spec=0.9938, MCC=0.5856, Kappa=0.5260, HD95=114.17, NSD=0.2524
Normal (1511).png: DSC=0.5478, IoU=0.3772, Sens=0.3869, Spec=0.9820, MCC=0.4831, Kappa=0.4041, HD95=77.93, NSD=0.2419
Normal (1512).png: DSC=0.9000, IoU=0.8182, Sens=0.8606, Spec=0.9823, MCC=0.8695, Kappa=0.8679, HD95=9.85, NSD=0.3580
Normal (1513).png: DSC=0.7235, IoU=0.5668, Sens=0.5727, Spec=0.9934, MCC=0.6589, Kappa=0.6123, HD95=27.00, NSD=0.2149
Normal (1514).png: DSC=0.5709, IoU=0.3995, Sens=0.4133, Spec=0.9802, MCC=0.5128, Kappa=0.4466, HD95=141.31, NSD=0.2272
Normal (1515).png: DSC=0.9133, IoU=0.8405, Sens=0.8680, Spec=0.9910, MCC=0.8930, Kappa=0.8911, HD95=7.62, NSD=0.4288
Normal (1516).png: DSC=0.0405, IoU=0.0207, Sens=0.0210, Spec=0.9964, MCC=0.0816, Kappa=0.0279, HD95=99.04, NSD=0.1057
Normal (1517).png: DSC=0.8877, IoU=0.7981, Sens=0.8249, Spec=0.9841, MCC=0.8453, Kappa=0.8403, HD95=12.53, NSD=0.3324
Normal (1518).png: DSC=0.5677, IoU=0.3964, Sens=0.4081, Spec=0.9910, MCC=0.5576, Kappa=0.4964, HD95=125.32, NSD=0.2708
Normal (1519).png: DSC=0.8754, IoU=0.7785, Sens=0.7949, Spec=0.9909, MCC=0.8371, Kappa=0.8290, HD95=16.00, NSD=0.3875
Normal (1520).png: DSC=0.8816, IoU=0.7883, Sens=0.8536, Spec=0.9586, MCC=0.8263, Kappa=0.8253, HD95=20.22, NSD=0.3282
Normal (1521).png: DSC=0.5110, IoU=0.3432, Sens=0.3710, Spec=0.9666, MCC=0.4536, Kappa=0.4026, HD95=127.78, NSD=0.1068
Normal (1522).png: DSC=0.8996, IoU=0.8176, Sens=0.8567, Spec=0.9874, MCC=0.8766, Kappa=0.8749, HD95=11.11, NSD=0.4311
Normal (1523).png: DSC=0.6069, IoU=0.4357, Sens=0.4418, Spec=0.9961, MCC=0.6042, Kappa=0.5445, HD95=120.58, NSD=0.3246
Normal (1524).png: DSC=0.6589, IoU=0.4913, Sens=0.4975, Spec=0.9978, MCC=0.6652, Kappa=0.6203, HD95=23.35, NSD=0.2088
Normal (1525).png: DSC=0.4828, IoU=0.3182, Sens=0.3499, Spec=0.9465, MCC=0.3883, Kappa=0.3395, HD95=111.00, NSD=0.0884
Normal (1526).png: DSC=0.6055, IoU=0.4342, Sens=0.4359, Spec=0.9986, MCC=0.5975, Kappa=0.5292, HD95=29.71, NSD=0.1409
Normal (1527).png: DSC=0.8751, IoU=0.7779, Sens=0.8072, Spec=0.9814, MCC=0.8269, Kappa=0.8209, HD95=15.78, NSD=0.3114
Normal (1528).png: DSC=0.8970, IoU=0.8133, Sens=0.8594, Spec=0.9882, MCC=0.8779, Kappa=0.8767, HD95=9.22, NSD=0.4289
Normal (1529).png: DSC=0.8880, IoU=0.7985, Sens=0.8908, Spec=0.9482, MCC=0.8376, Kappa=0.8375, HD95=13.00, NSD=0.3011
Normal (1530).png: DSC=0.8792, IoU=0.7844, Sens=0.8076, Spec=0.9892, MCC=0.8460, Kappa=0.8402, HD95=12.04, NSD=0.3305
Normal (1531).png: DSC=0.8868, IoU=0.7966, Sens=0.8426, Spec=0.9714, MCC=0.8375, Kappa=0.8351, HD95=12.65, NSD=0.3351
Normal (1532).png: DSC=0.8109, IoU=0.6819, Sens=0.6857, Spec=0.9986, MCC=0.7925, Kappa=0.7733, HD95=21.02, NSD=0.2708
Normal (1533).png: DSC=0.8732, IoU=0.7749, Sens=0.8056, Spec=0.9893, MCC=0.8472, Kappa=0.8426, HD95=11.00, NSD=0.3518
Normal (1534).png: DSC=0.8451, IoU=0.7318, Sens=0.7697, Spec=0.9840, MCC=0.8094, Kappa=0.8031, HD95=13.00, NSD=0.3262
Normal (1535).png: DSC=0.8376, IoU=0.7205, Sens=0.8073, Spec=0.9762, MCC=0.8077, Kappa=0.8069, HD95=32.08, NSD=0.3486
Normal (1536).png: DSC=0.8990, IoU=0.8165, Sens=0.8693, Spec=0.9818, MCC=0.8727, Kappa=0.8718, HD95=10.00, NSD=0.2659
Normal (1537).png: DSC=0.9141, IoU=0.8418, Sens=0.8769, Spec=0.9891, MCC=0.8941, Kappa=0.8928, HD95=6.40, NSD=0.4338
Normal (1538).png: DSC=0.9004, IoU=0.8189, Sens=0.8838, Spec=0.9713, MCC=0.8656, Kappa=0.8653, HD95=23.22, NSD=0.3735
Normal (1539).png: DSC=0.7619, IoU=0.6153, Sens=0.6424, Spec=0.9808, MCC=0.7053, Kappa=0.6835, HD95=18.44, NSD=0.1920
Normal (1540).png: DSC=0.8603, IoU=0.7548, Sens=0.7818, Spec=0.9882, MCC=0.8270, Kappa=0.8201, HD95=14.76, NSD=0.3795
Normal (1541).png: DSC=0.7492, IoU=0.5990, Sens=0.6093, Spec=0.9928, MCC=0.7077, Kappa=0.6758, HD95=29.66, NSD=0.2115
Normal (1542).png: DSC=0.0016, IoU=0.0008, Sens=0.0009, Spec=0.9847, MCC=-0.0601, Kappa=-0.0207, HD95=188.02, NSD=0.0225
Normal (1543).png: DSC=0.6054, IoU=0.4341, Sens=0.4403, Spec=0.9929, MCC=0.5704, Kappa=0.5027, HD95=37.84, NSD=0.2027
Normal (1544).png: DSC=0.8703, IoU=0.7703, Sens=0.7827, Spec=0.9967, MCC=0.8546, Kappa=0.8471, HD95=12.04, NSD=0.4261
Normal (1545).png: DSC=0.8046, IoU=0.6731, Sens=0.6874, Spec=0.9910, MCC=0.7602, Kappa=0.7404, HD95=21.47, NSD=0.2645
Normal (1546).png: DSC=0.8231, IoU=0.6993, Sens=0.7208, Spec=0.9919, MCC=0.7965, Kappa=0.7845, HD95=16.28, NSD=0.3564
Normal (1547).png: DSC=0.8951, IoU=0.8102, Sens=0.8457, Spec=0.9741, MCC=0.8422, Kappa=0.8388, HD95=11.18, NSD=0.3602
Normal (1548).png: DSC=0.8200, IoU=0.6950, Sens=0.7206, Spec=0.9852, MCC=0.7742, Kappa=0.7611, HD95=20.12, NSD=0.2784
Normal (1549).png: DSC=0.8293, IoU=0.7083, Sens=0.7223, Spec=0.9898, MCC=0.7764, Kappa=0.7593, HD95=17.46, NSD=0.3197
Normal (1550).png: DSC=0.7706, IoU=0.6268, Sens=0.6302, Spec=0.9983, MCC=0.7459, Kappa=0.7172, HD95=24.73, NSD=0.1747
Normal (1551).png: DSC=0.8376, IoU=0.7205, Sens=0.7384, Spec=0.9897, MCC=0.7952, Kappa=0.7822, HD95=16.80, NSD=0.3081
Normal (1552).png: DSC=0.8894, IoU=0.8008, Sens=0.8634, Spec=0.9726, MCC=0.8528, Kappa=0.8522, HD95=11.00, NSD=0.3382
Normal (1553).png: DSC=0.8750, IoU=0.7778, Sens=0.8088, Spec=0.9913, MCC=0.8546, Kappa=0.8505, HD95=11.00, NSD=0.4634
Normal (1554).png: DSC=0.8794, IoU=0.7848, Sens=0.8128, Spec=0.9911, MCC=0.8568, Kappa=0.8525, HD95=10.20, NSD=0.3955
Normal (1555).png: DSC=0.9392, IoU=0.8854, Sens=0.9061, Spec=0.9891, MCC=0.9136, Kappa=0.9124, HD95=8.06, NSD=0.5345
Normal (1556).png: DSC=0.8816, IoU=0.7883, Sens=0.8178, Spec=0.9839, MCC=0.8410, Kappa=0.8361, HD95=11.70, NSD=0.3955
Normal (1557).png: DSC=0.9010, IoU=0.8198, Sens=0.8434, Spec=0.9918, MCC=0.8786, Kappa=0.8753, HD95=8.77, NSD=0.3753
Normal (1558).png: DSC=0.8374, IoU=0.7203, Sens=0.7266, Spec=0.9971, MCC=0.8082, Kappa=0.7928, HD95=28.94, NSD=0.3351
Normal (1559).png: DSC=0.0130, IoU=0.0065, Sens=0.0067, Spec=0.9889, MCC=-0.0203, Kappa=-0.0062, HD95=133.96, NSD=0.0218
Normal (1560).png: DSC=0.8761, IoU=0.7796, Sens=0.8246, Spec=0.9755, MCC=0.8314, Kappa=0.8283, HD95=12.76, NSD=0.3083
Normal (1561).png: DSC=0.4979, IoU=0.3315, Sens=0.3633, Spec=0.9834, MCC=0.4891, Kappa=0.4465, HD95=109.26, NSD=0.2304
Normal (1562).png: DSC=0.8751, IoU=0.7779, Sens=0.8105, Spec=0.9848, MCC=0.8392, Kappa=0.8345, HD95=11.66, NSD=0.3315
Normal (1563).png: DSC=0.5866, IoU=0.4151, Sens=0.5236, Spec=0.8871, MCC=0.4434, Kappa=0.4374, HD95=37.12, NSD=0.3183
Normal (1564).png: DSC=0.9190, IoU=0.8502, Sens=0.8901, Spec=0.9802, MCC=0.8874, Kappa=0.8865, HD95=8.54, NSD=0.4132
Normal (1565).png: DSC=0.8051, IoU=0.6738, Sens=0.6853, Spec=0.9925, MCC=0.7609, Kappa=0.7399, HD95=19.24, NSD=0.2697
Normal (1566).png: DSC=0.9004, IoU=0.8188, Sens=0.9093, Spec=0.9487, MCC=0.8536, Kappa=0.8535, HD95=13.49, NSD=0.2775
Normal (1567).png: DSC=0.8900, IoU=0.8018, Sens=0.8588, Spec=0.9628, MCC=0.8367, Kappa=0.8355, HD95=13.00, NSD=0.2601
Normal (1568).png: DSC=0.6504, IoU=0.4819, Sens=0.4864, Spec=0.9975, MCC=0.6449, Kappa=0.5933, HD95=58.96, NSD=0.2177
Normal (1569).png: DSC=0.8638, IoU=0.7603, Sens=0.8010, Spec=0.9746, MCC=0.8114, Kappa=0.8063, HD95=15.00, NSD=0.3333
Normal (1570).png: DSC=0.8987, IoU=0.8161, Sens=0.8542, Spec=0.9792, MCC=0.8592, Kappa=0.8569, HD95=11.00, NSD=0.3542
Normal (1571).png: DSC=0.5738, IoU=0.4023, Sens=0.4048, Spec=0.9972, MCC=0.5562, Kappa=0.4780, HD95=88.24, NSD=0.1584
Normal (1572).png: DSC=0.7491, IoU=0.5989, Sens=0.6576, Spec=0.9607, MCC=0.6788, Kappa=0.6671, HD95=26.88, NSD=0.3007
Normal (1573).png: DSC=0.8604, IoU=0.7551, Sens=0.7768, Spec=0.9879, MCC=0.8191, Kappa=0.8103, HD95=14.14, NSD=0.3490
Normal (1574).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
Normal (1575).png: DSC=0.8736, IoU=0.7756, Sens=0.8259, Spec=0.9783, MCC=0.8369, Kappa=0.8345, HD95=12.27, NSD=0.2778
Normal (1576).png: DSC=0.8822, IoU=0.7892, Sens=0.8114, Spec=0.9918, MCC=0.8568, Kappa=0.8516, HD95=13.00, NSD=0.3470
Normal (1577).png: DSC=0.7526, IoU=0.6033, Sens=0.6116, Spec=0.9961, MCC=0.7302, Kappa=0.7014, HD95=21.14, NSD=0.2304
Normal (1578).png: DSC=0.7413, IoU=0.5889, Sens=0.5983, Spec=0.9961, MCC=0.7246, Kappa=0.6953, HD95=20.12, NSD=0.2005
