=== METRICS FOR JSRT ===

JPCLN091.png: DSC=0.8651, IoU=0.7622, HD95=27.02
JPCLN092.png: DSC=0.6278, IoU=0.4575, HD95=80.67
JPCLN093.png: DSC=0.8545, IoU=0.7460, HD95=41.77
JPCLN094.png: DSC=0.8909, IoU=0.8033, HD95=26.08
JPCLN095.png: DSC=0.8707, IoU=0.7710, HD95=23.61
JPCLN096.png: DSC=0.8854, IoU=0.7943, HD95=29.00
JPCLN097.png: DSC=0.0162, IoU=0.0082, HD95=176.29
JPCLN098.png: DSC=0.8593, IoU=0.7533, HD95=30.94
JPCLN099.png: DSC=0.9032, IoU=0.8234, HD95=21.56
JPCLN100.png: DSC=0.6767, IoU=0.5114, HD95=93.36
JPCLN101.png: DSC=0.4803, IoU=0.3160, HD95=123.64
JPCLN102.png: DSC=0.8876, IoU=0.7979, HD95=29.00
JPCLN103.png: DSC=0.7635, IoU=0.6175, HD95=69.00
JPCLN104.png: DSC=0.8963, IoU=0.8121, HD95=22.81
JPCLN105.png: DSC=0.5842, IoU=0.4127, HD95=149.33
JPCLN106.png: DSC=0.8640, IoU=0.7605, HD95=35.85
JPCLN107.png: DSC=0.5476, IoU=0.3770, HD95=165.32
JPCLN108.png: DSC=0.8533, IoU=0.7441, HD95=76.91
JPCLN109.png: DSC=0.9102, IoU=0.8352, HD95=20.00
JPCLN110.png: DSC=0.8890, IoU=0.8002, HD95=25.00
JPCLN111.png: DSC=0.8531, IoU=0.7439, HD95=39.09
JPCLN112.png: DSC=0.0568, IoU=0.0292, HD95=136.65
JPCLN113.png: DSC=0.8767, IoU=0.7804, HD95=31.83
JPCLN114.png: DSC=0.8448, IoU=0.7313, HD95=49.24
JPCLN115.png: DSC=0.8509, IoU=0.7405, HD95=44.28
JPCLN116.png: DSC=0.9033, IoU=0.8237, HD95=18.79
JPCLN117.png: DSC=0.8806, IoU=0.7866, HD95=22.58
JPCLN118.png: DSC=0.8776, IoU=0.7819, HD95=36.40
JPCLN119.png: DSC=0.8803, IoU=0.7862, HD95=29.55
JPCLN120.png: DSC=0.8892, IoU=0.8004, HD95=34.00
JPCLN121.png: DSC=0.8750, IoU=0.7778, HD95=24.04
JPCLN122.png: DSC=0.8785, IoU=0.7833, HD95=68.45
JPCLN123.png: DSC=0.8792, IoU=0.7844, HD95=24.35
JPCLN124.png: DSC=0.5519, IoU=0.3811, HD95=98.35
JPCLN125.png: DSC=0.8612, IoU=0.7562, HD95=35.49
JPCLN126.png: DSC=0.8899, IoU=0.8016, HD95=34.00
JPCLN127.png: DSC=0.8550, IoU=0.7467, HD95=35.00
JPCLN128.png: DSC=0.9027, IoU=0.8227, HD95=25.30
JPCLN129.png: DSC=0.8706, IoU=0.7708, HD95=53.15
JPCLN130.png: DSC=0.8594, IoU=0.7535, HD95=31.97
JPCLN131.png: DSC=0.8693, IoU=0.7689, HD95=111.51
JPCLN132.png: DSC=0.9027, IoU=0.8227, HD95=28.97
JPCLN133.png: DSC=0.8674, IoU=0.7658, HD95=36.02
JPCLN134.png: DSC=0.8418, IoU=0.7269, HD95=33.54
JPCLN135.png: DSC=0.0302, IoU=0.0153, HD95=159.66
JPCLN136.png: DSC=0.5735, IoU=0.4020, HD95=130.92
JPCLN137.png: DSC=0.8582, IoU=0.7516, HD95=37.77
JPCLN138.png: DSC=0.8792, IoU=0.7845, HD95=27.20
JPCLN139.png: DSC=0.8768, IoU=0.7806, HD95=28.00
JPCLN140.png: DSC=0.8757, IoU=0.7788, HD95=45.60
JPCLN141.png: DSC=0.8711, IoU=0.7716, HD95=32.00
JPCLN142.png: DSC=0.8727, IoU=0.7742, HD95=28.00
JPCLN143.png: DSC=0.8868, IoU=0.7966, HD95=30.00
JPCLN144.png: DSC=0.8777, IoU=0.7821, HD95=25.02
JPCLN145.png: DSC=0.8774, IoU=0.7816, HD95=29.73
JPCLN146.png: DSC=0.8699, IoU=0.7697, HD95=37.11
JPCLN147.png: DSC=0.8837, IoU=0.7916, HD95=31.42
JPCLN148.png: DSC=0.8707, IoU=0.7709, HD95=29.07
JPCLN149.png: DSC=0.8961, IoU=0.8118, HD95=23.37
JPCLN150.png: DSC=0.9020, IoU=0.8214, HD95=27.07
JPCLN151.png: DSC=0.8892, IoU=0.8005, HD95=23.00
JPCLN152.png: DSC=0.8822, IoU=0.7892, HD95=24.05
JPCLN153.png: DSC=0.8997, IoU=0.8177, HD95=24.00
JPCLN154.png: DSC=0.8731, IoU=0.7747, HD95=28.22
JPCNN001.png: DSC=0.8600, IoU=0.7544, HD95=37.98
JPCNN002.png: DSC=0.8641, IoU=0.7606, HD95=35.31
JPCNN003.png: DSC=0.5376, IoU=0.3676, HD95=126.77
JPCNN004.png: DSC=0.8826, IoU=0.7899, HD95=26.96
JPCNN005.png: DSC=0.8774, IoU=0.7817, HD95=38.08
JPCNN006.png: DSC=0.8956, IoU=0.8110, HD95=25.50
JPCNN007.png: DSC=0.6083, IoU=0.4371, HD95=74.11
JPCNN008.png: DSC=0.8829, IoU=0.7904, HD95=25.08
JPCNN009.png: DSC=0.8744, IoU=0.7768, HD95=61.81
JPCNN010.png: DSC=0.8845, IoU=0.7929, HD95=27.73
JPCNN011.png: DSC=0.8881, IoU=0.7987, HD95=26.25
JPCNN012.png: DSC=0.5447, IoU=0.3743, HD95=156.44
JPCNN013.png: DSC=0.8831, IoU=0.7907, HD95=28.00
JPCNN014.png: DSC=0.8609, IoU=0.7558, HD95=63.88
JPCNN015.png: DSC=0.6238, IoU=0.4533, HD95=82.00
JPCNN016.png: DSC=0.6062, IoU=0.4349, HD95=81.00
JPCNN017.png: DSC=0.8567, IoU=0.7494, HD95=61.68
JPCNN018.png: DSC=0.8847, IoU=0.7933, HD95=31.00
JPCNN019.png: DSC=0.8720, IoU=0.7731, HD95=26.02
JPCNN020.png: DSC=0.5440, IoU=0.3736, HD95=64.14
JPCNN021.png: DSC=0.8810, IoU=0.7873, HD95=23.00
JPCNN022.png: DSC=0.8738, IoU=0.7758, HD95=32.34
JPCNN023.png: DSC=0.6235, IoU=0.4530, HD95=99.88
JPCNN024.png: DSC=0.8336, IoU=0.7147, HD95=37.16
JPCNN025.png: DSC=0.8830, IoU=0.7905, HD95=27.66
JPCNN026.png: DSC=0.8956, IoU=0.8109, HD95=24.19
JPCNN027.png: DSC=0.8992, IoU=0.8169, HD95=22.83
JPCNN028.png: DSC=0.8739, IoU=0.7761, HD95=29.42
JPCNN029.png: DSC=0.9065, IoU=0.8290, HD95=29.06
JPCNN030.png: DSC=0.8855, IoU=0.7945, HD95=26.57
JPCNN031.png: DSC=0.0242, IoU=0.0122, HD95=114.53
