=== METRICS: train/covid-19 ===

covid_151.png: DSC=0.6341, IoU=0.4643, Sens=0.8781, Spec=0.7168, MCC=0.5145, Kappa=0.4712, HD95=161.30, NSD=0.0831
covid_152.png: DSC=0.0306, IoU=0.0155, Sens=0.0744, Spec=0.5179, MCC=-0.2599, Kappa=-0.1810, HD95=224.67, NSD=0.0200
covid_153.png: DSC=0.4021, IoU=0.2516, Sens=0.2557, Spec=0.9923, MCC=0.4092, Kappa=0.3055, HD95=228.88, NSD=0.0169
covid_154.png: DSC=0.0630, IoU=0.0325, Sens=0.0325, Spec=1.0000, MCC=0.1646, Kappa=0.0528, HD95=240.01, NSD=0.0000
covid_157.png: DSC=0.6476, IoU=0.4788, Sens=0.4958, Spec=0.9840, MCC=0.5982, Kappa=0.5507, HD95=99.72, NSD=0.1444
covid_158.png: DSC=0.7659, IoU=0.6207, Sens=0.7201, Spec=0.9324, MCC=0.6785, Kappa=0.6759, HD95=46.09, NSD=0.0827
covid_159.png: DSC=0.3665, IoU=0.2244, Sens=0.2244, Spec=1.0000, MCC=0.4181, Kappa=0.2976, HD95=267.24, NSD=0.0502
covid_16.png: DSC=0.1352, IoU=0.0725, Sens=0.0725, Spec=1.0000, MCC=0.2445, Kappa=0.1131, HD95=310.55, NSD=0.0336
covid_160.png: DSC=0.2882, IoU=0.1684, Sens=0.1684, Spec=1.0000, MCC=0.3739, Kappa=0.2453, HD95=210.54, NSD=0.0000
covid_162.png: DSC=0.3205, IoU=0.1908, Sens=0.1908, Spec=1.0000, MCC=0.3769, Kappa=0.2487, HD95=268.22, NSD=0.0006
covid_164.png: DSC=0.2690, IoU=0.1554, Sens=0.1554, Spec=1.0000, MCC=0.3524, Kappa=0.2209, HD95=172.91, NSD=0.0000
covid_165.png: DSC=0.2698, IoU=0.1560, Sens=0.1560, Spec=1.0000, MCC=0.3578, Kappa=0.2270, HD95=207.18, NSD=0.0000
covid_167.png: DSC=0.3387, IoU=0.2039, Sens=0.2044, Spec=0.9994, MCC=0.4143, Kappa=0.2963, HD95=156.83, NSD=0.0248
covid_169.png: DSC=0.1750, IoU=0.0959, Sens=0.0959, Spec=1.0000, MCC=0.2720, Kappa=0.1378, HD95=256.12, NSD=0.0384
covid_17.png: DSC=0.2681, IoU=0.1548, Sens=0.1548, Spec=1.0000, MCC=0.3420, Kappa=0.2095, HD95=220.32, NSD=0.0000
covid_172.png: DSC=0.3109, IoU=0.1840, Sens=0.1840, Spec=1.0000, MCC=0.3961, Kappa=0.2712, HD95=161.70, NSD=0.0000
covid_173.png: DSC=0.2426, IoU=0.1381, Sens=0.1385, Spec=0.9989, MCC=0.3175, Kappa=0.1876, HD95=312.44, NSD=0.1134
covid_174.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
covid_175.png: DSC=0.7185, IoU=0.5606, Sens=0.8226, Spec=0.8517, MCC=0.6231, Kappa=0.6136, HD95=68.21, NSD=0.1119
covid_176.png: DSC=0.7239, IoU=0.5672, Sens=0.9568, Spec=0.4834, MCC=0.4781, Kappa=0.4077, HD95=147.97, NSD=0.0960
covid_178.png: DSC=0.7713, IoU=0.6277, Sens=0.6430, Spec=0.9950, MCC=0.7555, Kappa=0.7351, HD95=60.03, NSD=0.2117
covid_180.png: DSC=0.1352, IoU=0.0725, Sens=0.0789, Spec=0.9777, MCC=0.1258, Kappa=0.0823, HD95=162.00, NSD=0.0000
covid_181.png: DSC=0.2397, IoU=0.1362, Sens=0.1368, Spec=0.9967, MCC=0.2820, Kappa=0.1549, HD95=256.28, NSD=0.0171
covid_183.png: DSC=0.2110, IoU=0.1179, Sens=0.1182, Spec=0.9995, MCC=0.3096, Kappa=0.1784, HD95=268.23, NSD=0.0126
covid_184.png: DSC=0.3568, IoU=0.2171, Sens=0.2197, Spec=0.9971, MCC=0.4125, Kappa=0.3043, HD95=160.85, NSD=0.1239
covid_187.png: DSC=0.2101, IoU=0.1174, Sens=0.1174, Spec=1.0000, MCC=0.2805, Kappa=0.1459, HD95=153.73, NSD=0.0000
covid_188.png: DSC=0.1197, IoU=0.0637, Sens=0.0668, Spec=0.9850, MCC=0.1350, Kappa=0.0752, HD95=313.30, NSD=0.0024
covid_190.png: DSC=0.2825, IoU=0.1645, Sens=0.1645, Spec=0.9999, MCC=0.3579, Kappa=0.2275, HD95=237.89, NSD=0.0446
covid_191.png: DSC=0.4206, IoU=0.2663, Sens=0.6995, Spec=0.6779, MCC=0.2881, Kappa=0.2464, HD95=105.10, NSD=0.0847
covid_192.png: DSC=0.5596, IoU=0.3885, Sens=0.9119, Spec=0.4514, MCC=0.3463, Kappa=0.2646, HD95=137.57, NSD=0.0705
covid_193.png: DSC=0.2910, IoU=0.1703, Sens=0.1703, Spec=1.0000, MCC=0.3629, Kappa=0.2327, HD95=160.72, NSD=0.0114
covid_196.png: DSC=0.0744, IoU=0.0386, Sens=0.0386, Spec=1.0000, MCC=0.1784, Kappa=0.0617, HD95=305.49, NSD=0.0000
covid_197.png: DSC=0.2714, IoU=0.1570, Sens=0.2891, Spec=0.7409, MCC=0.0288, Kappa=0.0287, HD95=123.59, NSD=0.0741
covid_198.png: DSC=0.3939, IoU=0.2453, Sens=0.2453, Spec=1.0000, MCC=0.4438, Kappa=0.3291, HD95=114.18, NSD=0.0365
covid_199.png: DSC=0.2099, IoU=0.1173, Sens=0.1173, Spec=1.0000, MCC=0.2963, Kappa=0.1614, HD95=347.81, NSD=0.0000
covid_20.png: DSC=0.5268, IoU=0.3576, Sens=0.3589, Spec=0.9995, MCC=0.5727, Kappa=0.4967, HD95=62.94, NSD=0.0724
covid_200.png: DSC=0.7230, IoU=0.5662, Sens=0.5796, Spec=0.9964, MCC=0.7201, Kappa=0.6924, HD95=36.88, NSD=0.1262
covid_201.png: DSC=0.2201, IoU=0.1237, Sens=0.1237, Spec=1.0000, MCC=0.3304, Kappa=0.1969, HD95=154.72, NSD=0.0081
covid_202.png: DSC=0.2464, IoU=0.1405, Sens=0.1405, Spec=1.0000, MCC=0.3392, Kappa=0.2063, HD95=322.61, NSD=0.0136
covid_203.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9608, MCC=-0.1038, Kappa=-0.0547, HD95=547.98, NSD=0.0000
covid_204.png: DSC=0.2733, IoU=0.1583, Sens=0.1583, Spec=1.0000, MCC=0.3595, Kappa=0.2290, HD95=197.48, NSD=0.0000
covid_205.png: DSC=0.2674, IoU=0.1543, Sens=0.1554, Spec=0.9975, MCC=0.3302, Kappa=0.2060, HD95=299.71, NSD=0.0789
covid_206.png: DSC=0.0025, IoU=0.0012, Sens=0.0014, Spec=0.9758, MCC=-0.0677, Kappa=-0.0343, HD95=346.19, NSD=0.0108
covid_207.png: DSC=0.6379, IoU=0.4684, Sens=0.4688, Spec=0.9997, MCC=0.6290, Kappa=0.5676, HD95=143.34, NSD=0.1057
covid_208.png: DSC=0.8811, IoU=0.7875, Sens=0.8233, Spec=0.9843, MCC=0.8475, Kappa=0.8439, HD95=38.00, NSD=0.2447
