=== METRICS: train/jsrt ===

JPCLN040.png: DSC=0.5034, IoU=0.3364, Sens=0.3528, Spec=0.9710, MCC=0.4387, Kappa=0.3683, HD95=169.53, NSD=0.0988
JPCLN041.png: DSC=0.9095, IoU=0.8340, Sens=0.8457, Spec=0.9932, MCC=0.8755, Kappa=0.8704, HD95=22.00, NSD=0.1904
JPCLN042.png: DSC=0.4970, IoU=0.3307, Sens=0.3471, Spec=0.9864, MCC=0.4905, Kappa=0.4271, HD95=291.70, NSD=0.1237
JPCLN043.png: DSC=0.1317, IoU=0.0705, Sens=0.0893, Spec=0.8934, MCC=-0.0260, Kappa=-0.0215, HD95=128.86, NSD=0.0357
JPCLN044.png: DSC=0.8597, IoU=0.7539, Sens=0.7649, Spec=0.9940, MCC=0.8230, Kappa=0.8115, HD95=30.56, NSD=0.0961
JPCLN045.png: DSC=0.4718, IoU=0.3087, Sens=0.3137, Spec=0.9903, MCC=0.4470, Kappa=0.3511, HD95=123.74, NSD=0.0977
JPCLN046.png: DSC=0.8761, IoU=0.7795, Sens=0.8263, Spec=0.9725, MCC=0.8272, Kappa=0.8242, HD95=23.54, NSD=0.1073
JPCLN047.png: DSC=0.8240, IoU=0.7007, Sens=0.7218, Spec=0.9823, MCC=0.7584, Kappa=0.7419, HD95=35.90, NSD=0.0854
JPCLN048.png: DSC=0.8567, IoU=0.7493, Sens=0.7979, Spec=0.9832, MCC=0.8263, Kappa=0.8229, HD95=46.26, NSD=0.1669
JPCLN049.png: DSC=0.8909, IoU=0.8033, Sens=0.8320, Spec=0.9812, MCC=0.8441, Kappa=0.8395, HD95=25.50, NSD=0.1474
JPCLN050.png: DSC=0.8830, IoU=0.7905, Sens=0.8093, Spec=0.9904, MCC=0.8482, Kappa=0.8417, HD95=31.13, NSD=0.1937
JPCLN051.png: DSC=0.8793, IoU=0.7846, Sens=0.7905, Spec=0.9968, MCC=0.8461, Kappa=0.8363, HD95=31.00, NSD=0.2180
JPCLN052.png: DSC=0.8805, IoU=0.7866, Sens=0.8178, Spec=0.9835, MCC=0.8408, Kappa=0.8362, HD95=22.36, NSD=0.1515
JPCLN053.png: DSC=0.8728, IoU=0.7743, Sens=0.8213, Spec=0.9631, MCC=0.8068, Kappa=0.8030, HD95=32.89, NSD=0.1813
